AADARANA,"A Helping Hand Community, Tirupati",Chittoor,aadaranaorg@gmail.com,,91-99001 90881,NOT AVAILABLE,Health and education.
AASRA – Association for Active Service in Rural Areas,"4-160, 7th Lane, Dwaraka Nagar",Vizianagaram,gudupatirkrishna@yahoo.co.in,"91-8922-272998, 91-8922-252998",91-99890 75059,NOT AVAILABLE,Agriculture
361 Degree Life Foundation,"13/65, Kollipara",Guntur,info@361degreelife.org,,91-8644-245199,NOT AVAILABLE,"Health care, rural development, education, agriculture."
A Society of Do for Needy,"5-768/B, New Colony",Vizianagaram,usolomonraj52@gmail.com,,91-98668 84152,NOT AVAILABLE,Non Profit Motive to help the needy.
3-Men Academics,"Nuthalapadu, Prakasam",Prakasam,men3bsr@gmail.com,,91-94900 13122,NOT AVAILABLE,
Abdul Kalaam Minority Educational Society,"Vijayawada, Krishna",Krishna,akmes_sorg@yahoo.co.in,91-866-2442343,91-98662 86975,NOT AVAILABLE,"Women & children, urban and rural poor, hiv/aids victims, youth and child labour, agricultural."
AASA – Agape Association for Social Awareness,"66-17-6/1, Ramdas Petost",East Godavari,aasajohnpeter@yahoo.com,,91-92914 95117,NOT AVAILABLE,Social service and christian service.
Abhimani Foundation,3-164/89 TR Colony,Bobbili,dr.ntr@rediffmail.com,NOT AVAILABLE,94907 89555,08944254555,"Agriculture, Child Rights, Consumer Issues, Disability, Education, Environment, Food and Nutrition, Health, Irrigation, Old Aged Welfare, Peace, Plantation, Pollution, Rehabilitation, Rural Development, Sanitation."
Abhivrudhi Mahila Seva Sangam,"30/426, Musthakhanpeta, Machili Patnam",Krishna,karedlaanjani@gmail.com,NOT AVAILABLE,"94403 30500, 96664 42919",,"Adolescent girls welfare, advocacy on social issues, art and culture, awareness generation, child welfare, disability, general – social welfare, health, hiv aids, human rights, labour, legal awareness, medical relief, micro-enterprises, old aged welfare, orphanage, plantation, science and technology, society and economy, water, women development welfare, women’s issues, youth."
Abhyudaya Mahila Mandali,"K.L.Gupta Kalyanamandapam, 1-442/A",Mangalagiri,joe_susi@yahoo.co.in,91-8645-235919,,NOT AVAILABLE,Womens development.
Academy of Gandhian Studies,"18-3-60, Sdsri Complex, Tirupati",Chittoor,ags76@rediffmail.com,91-877-3290429,,NOT AVAILABLE,NGOs of India.
Abhyudaya Rural Development Society,"6-485, Kesava Nagar",Anantapur,rajesh21726@yahoo.co.in,,91-98499 21726,NOT AVAILABLE,
ACME – Association for Community Mobilization & Empowerment,"09-05-2004, Sri Jaggamma Nilayam",Vizianagaram,acme_slr@yahoo.com,91-8964-255423,,NOT AVAILABLE,To take part as panel ngo.
Academy of Grassroots Studies and Research of India(AGRASRI),"11, Sri Venkata Sai Nilayam, Thummalagunta, SV University, Tirupati",Chittoor,drsundarram@gmail.com,NOT AVAILABLE,94412 45085,0877-2244777,"Local self governance (panchayati raj), youth."
ACDS – Adarsha Community Development Society,"V. Kota, Chittoor",Chittoor,madhujkc@gmail.com,,91-94400 46452,NOT AVAILABLE,Seeking funds to develop the undeveloped rural areas.
Action for Integrated Rural & Tribal Development Social Service Society,"5-210, South Colony, Kattevaram, Tenali",Guntur?,airtds@airtds.org,"91-8644-225739, 91-8644-233755",,NOT AVAILABLE,"Health, orphan chilren, women income generation, and tribal development."
Action for Welfare & Awakening in Rural Development,"D No 6-55A, Parimpudi",Koyyalagudem,,"91-8821-36549, 91-8812-36850",,NOT AVAILABLE,"Disadvantaged communities, disaster management, employment, women’s issues."
