Aakash Ganga,"Gupta Kutir Area, Tinsukia",Tinsukia,wi_bihu@times.com,NOT AVAILABLE,,91-3751-265214,Women empowerment.
ADVENT,"C/o Dihing Hostel, IIT",Guwahati,advent_ghy@in.com,NOT AVAILABLE,91-99541 86028,,"PovertY-eradication, upliftment of underprivileged, child welfare, education, training."
Aaranyak Nature Club,"Samanwoy Path, Survey",Guwahati,aaranyak@hotmail.com,NOT AVAILABLE,,91-361-2566087,"Environment, forestry"
AASHIYAN,"Kalimohan Road, Silchar",Silchar,im_avik@gmail.com,NOT AVAILABLE,,91-3842-263824,To work for the needy people.
AARANYAK,"50, Samanwoy Path, Survey, Beltola",Guwahati,info@aaranyak.org,NOT AVAILABLE,,91-361-2228418,
Aami Sahayatree,"Pan Bazar, Kamrup",Guwahati,choudhurydeba@yahoo.com,NOT AVAILABLE,,,Socio economic development.
AAMIVA – Association for Advancement of Micro Institution & Voulantry Action,"Aftab Market, G.S. Road, Ulubari",Guwahati,aamiva.micro@gmail.com,NOT AVAILABLE,"91-92071 57888, 91-98640 28386, 91-98640 57144",91-361-2450562,"Micro-finance, agriculture, education etc."
AAKRITI,"6 B.R. Nagar, Noonmati",Guwahati,gautami.barkataki@gmail.com,NOT AVAILABLE,91-97072 21151,,
Ahsus Foundation,"3, Milanpur",Morigaon,ahsusfoundation34@gmail.com,NOT AVAILABLE,97064 94170,,Social Work.
Ajagar Social Circle,"Agia, Goalpara",Goalpara,ajagarsocialcircle@yahoo.co.in,NOT AVAILABLE,91-94357 25238,,Social development
Akshoy Bikash Somaj,"Panikora, Morangi Chari Ali",Golaghat,ranjan_boruah@sify.com,NOT AVAILABLE,91-97077 44155,,Fund for economic upliftment in our area.
AKINCHAN,"1, Gopal Road, Nr. Pani Tenki, Panbazar",Guwahati,akinchan_ngo@rediffmail.com,NOT AVAILABLE,91-94354 08661,,Community development and render welfare services to community.
Akangshya Ngo,"Kushal Path, Demow",Sivasagar,akangshyaindia@gmail.com,NOT AVAILABLE,94353 63537,,"Environment, Forestry, General – Social Welfare, Governance, Health, Hiv/Aids, Rural Development, Self Help Groups, Tribal Development, Women Development/Welfare, Youth."
An Insight,"Chachal, VIP Road, Opp. Shivam Filling Station, 30, Ward 53",Guwahati,aninsight@yahoo.in,NOT AVAILABLE,91-98640 47436,,"Women empowerment, child development, micro finance."
Anajori Development Socirty,"Milanpur, Jail Road",Nalbari,anajoridevelopmentsociety@gmail.com,NOT AVAILABLE,"96780 07273, 98549 31655",,"Agriculture, Animal Health, Animal Welfare, Child Labour, Child Rights, Child Welfare, Community Development, Cultural Issues, Development (General)."
All Assam Tribal Paramedical Institute,"1, Bye Lane 2, Kalayanpur, Japorigog",Guwahati,aatpmi772008@rediffmail.com,NOT AVAILABLE,,91-361-2203488,
ANUBHUTI,"Kakojan Arondhara, Jorhat",Jorhat,onart@in.com,NOT AVAILABLE,,,Criative activity and art awareness among childern in rural area.
Ankan Academy,"Puthimari, Kamrup",Guwahati,durideka2013@gmail.com,NOT AVAILABLE,"98644 99616, 94352 50400",03621-242409,The Ngo Working Development Of Rural Poor.
Aranya Surakshya Samiti,"Rittiz, Bhakarivita",Bongaigaon,,NOT AVAILABLE,,91-3664-220998,Environment
AROHON,"S.S. Road, Goalpara",Goalpara,goswamigakul@gmail.com,NOT AVAILABLE,,91-3663-243377,Public Service
ARUNUDOI,"Lukumai, Tiniali",Golaghat,arunudoi_ngo@rediffmail.com,NOT AVAILABLE,,91-376-2911274,
ASCENT,"College Road, Near Assm Academy",Nalbari,drjd_2@yahoo.com,NOT AVAILABLE,91-98641 08231,,Promote better health and education for all.
AROHEE,"Power House Road, Nalbari",Nalbari,arohee.ngo@rediffmail.com,NOT AVAILABLE,91-98642 12180,,
Asian Mission Institute,"Kuriha, Kayakuchi",Barpeta,asianmissioninstitute85@gmail.com,NOT AVAILABLE,96786 07821,03665-252098,Social Work
ASHADEEP,"Islampur Road, Guwahati",Guwahati,societyashadeep@yahoo.com,NOT AVAILABLE,,91-361-2666794,Mental health.
ASHA – Assam Socio-Economic Health Association,"ASHA, VIP Road, Sixmile",Guwahati,ashaassam@gmail.com,NOT AVAILABLE,91-98640 76664,91-361-2336332,"Social, economical & health."
Asom Rastrabhasha Prachar Samiti,"Sewamandir Path, Rupnagar",Guwahati,arps@yahoo.co.in,NOT AVAILABLE,91-98643 55133,91-361-2463394,
Assam Cancer Society,"Tirupati Complex, N.H.37, Hospital Road, Bokakhat Town",Golaghat,surjya_bokakhat@rediffmail.com,NOT AVAILABLE,,91-3776-268377,
Assam Institute of Management,"Navagiri Road, Saanmari",Guwahati,aimghy@satyam.net.in,NOT AVAILABLE,,"91-361-2663181, 91-361-2660945",Education
Assam Falah Society,"Hedayatpur, Guwahati",Guwahati,dewan_nq@rediffmail.com,NOT AVAILABLE,,91-361-260487,Education
Assam Science Society,"Latasil Lamb Road, Latasil",Guwahati,,NOT AVAILABLE,,91-361-2544208,Science and Technology
Assam Valley Development Society,"Majid-Road, Moirabari",Morigaon,ekramulhussain3@gmail.com,NOT AVAILABLE,,91-3678-255017,"Rural development, women’s issues."
Association for Socio Cultural & Environmental Development,"Rukmini Nagar, S.K.Barua Road, 3rd left by lane",Guwahati,asc_ed@rediffmail.com,NOT AVAILABLE,,"91-361-2225568, 91-361-2231619",Sek Resources
ASSROY,"Laharighat, Morigaon",Morigaon,munim_shah@rediffmail.com,NOT AVAILABLE,91-94357 87549,91-3678-266672,
Balipara Tract & Frontier Foundation,"Adabari Tea Estate, Lokhra Sonitpur",Sonitpur,robin.eastment@gmsworldnet.com,NOT AVAILABLE,91-99548 30436,,Anything on the ngos activities.
Atmah Santulan,"Rangaloo, Sutergaon",Nagaon,santulan_atma@yahoo.co.in,NOT AVAILABLE,,91-367-2149192,Sustainable development
Backward Ingenious Rural Developement Society (BIRDS),"Lezam, Chunari, Lakhipur",Goalpara,birdsngo19@gmail.com,NOT AVAILABLE,99574 80184,,Social Work.
Barnarddi Gramya Unnayan Samiti,"First Floor, Jayanta Commercial Centre",Guwahati,bgusnalbari@gmail.com,NOT AVAILABLE,,,
BENEDICTION,"Opp. Guwahati Commerce College, Guwahati",Guwahati,sasankagoswami@yahoo.co.in,NOT AVAILABLE,91-98641-20739,,Educational & cultural.
