A-One Sewa Sansthan,"Hanuman Nagar, New Area",Nawada,aonesewasansthan@yahoomail.com,NOT AVAILABLE,,91-6324-210107,To help poor person with different manner.
A Welcome Change,"Patel Nagar, Shakuntla Apartment",Patna,kumarisonam10@gmail.com,NOT AVAILABLE,91-93340 47201,91-612-2232171,Betterment of education.
Aaditya Krishna Seva Kendra,"Christian Quarter, Near Loyala School",Bettiah,anupam_avinash@yahoo.com,NOT AVAILABLE,? 91-99050 77056,,To create intellectual society.
Aap Aur Hum (AAH),"Jiyan Khurd, Aimabishunpur, Karza",Muzaffarpur,aapaurhum.aah@gmail.com,NOT AVAILABLE,"96089 26977, 97082 56486",,Social Work.
AAROGYAA,"Sri Nath Nagar, Ram Nagri Road, Ashiyana Nagar",Patna,aarogyaa@gmail.com,NOT AVAILABLE,91-95070 35984,,
Aadarsh Jankalyan Sangh Nimdih,"C/o Jhuna Sharma, Krishnapuri Colony",Jehanabad,ajks_nimdih@redffmail.com,NOT AVAILABLE,? 91-97711 90198,,
Aarambh Ek Suruaat Educational & Welfare Society,"C/o Sri Sita Ram Mahto, Patalia",Samastipur,Aarambh_suruaat,NOT AVAILABLE,? 91-99399 91508,,Social welfare and educational revolution.
Aastha Education Trust,Obra,Aurangabad,aasthaeducationtrust@yahoo.com,NOT AVAILABLE,89359 12000,,"E-Learning, Education, Library, Social Awareness, Society and Economy."
ABHIVANCHIT,"Ashiyana Nagar, Patna",Patna,abhivanchit@gmail.com,NOT AVAILABLE,"91-93081 21563, 91-96319 76889",,"Women empowerment, rural development, health, education, microfinance, female foeticide, environment."
Abhinay Arts,"Abhinay Arts, K Hat, Bari Hat",Purnea,abhinayarts936@gmail.com,NOT AVAILABLE,93348 69625,,"Art And Culture. Profesnal Traning In The Field Of Electronic Media, Like- Print Media, Community Radio And Tv Channel."
Abhinav Nirman,"Shivaji Nagar, Laliyahi, Jute Mill",Katihar,abhinavnirman@gmail.com,NOT AVAILABLE,91-94702 56691,91-6454-2248321,"Women and child development, rural development and disability."
Abhas Spandan,"74, Neelam Palace, Fatehpur",Siwan,info@abhasspandan.org,NOT AVAILABLE,98350 85332,,"Awareness Generation, Community Development, Disability, Governance, Labour, Micro-Enterprises, Social Awareness, Right To Information, Traditional Health, Women Development/Welfare."
Action for Social View,"Nashim Villa, Jamun Gali, Sabzibagh",Patna,abhisingh665@gmail.com,NOT AVAILABLE,,,
Absara Sewa Santhan,Rampurhari,Muzaffarpur,absarasewasansthan@gmail.com,NOT AVAILABLE,74881 77064,,"Advocacy On Social Issues, Anti Drug Campaign, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Cultural Issues, Forestry, Gender, Health, Human Development, Old Aged Welfare, Plantation, Pollution, Rehabilitation, Shelter Home, Social Awareness, Society And Economy, Trafficking Of Women, Training, Women Development/Welfare, Women’S Issues."
Abhyaas Foundation,"Rental Flat-184, Kankarbagh",Patna,abhyaasfoundation@gmail.com,NOT AVAILABLE,"93343 68094, 78580 28108",,"Awareness Generation, Education, Environment, General – Social Welfare, Health, Plantation, Pollution, Poverty, Social Awareness, Traditional Health Free Medical Camp."
Action for Development of Demos,"East Indira Nagar, Road No. 5",Patna,demos@sify.com,NOT AVAILABLE,,91-612-2367665,"Education development, Social activities."
Action Group for Citizens Rights,"284, Grand Apartments",Patna,info@actiongrup.org,NOT AVAILABLE,,91-6182-282166,Networking
Adarsh Pragatishil Shishu Niketan Evam Mahila Shilp Prashikshan Kendra,"Rajapur Mainpura, Opp. Maszid",Patna,apsnmspk@rediffmail.com,NOT AVAILABLE,? 91-93349 49102,,
Adarsh Sarvodaya Vikas Sansthan,"Adarsh Nagar, Lane No.3, Majhoulia, Khabra",Muzaffarpur,asvsajeetkumar@yahoo.com,NOT AVAILABLE,? 91-99053 80784,,NGO funds.
ADITHI,"2/30, State Bank Colony-II, Bailey Road",Patna,,NOT AVAILABLE,,? 91-612-283018,"? Agriculture, Child welfare, Health, Micro-enterprises, Rural Development, Women’s issues"
Aditya Sree Foundation,Katihar,Katihar,jhondon79@yahoo.co.in,NOT AVAILABLE,91-95077 92151,91-6452-242275,Free education for the needy and helpless children.
Aditya Group of Educational & Welfare Society,"Bharuhiya, Sirahira, Chand",Kaimur,adityagroupbbu@gmail.com,NOT AVAILABLE,93081 88390,,"Education, General – Social Welfare, Training, Women Development/Welfare."
