Aaradhana Manav Vikas Samiti,"Darri Road, Ram Sagar Para",Korba,duragesha@gmail.com,NOT AVAILABLE,91-98263 49111,91-7759-228569,Human develop.
Aahat Organization,"172, Ward-35, Durga Nagar, Birgaon",Raipur,aahat.org@gmail.com,NOT AVAILABLE,94079 41895,,Social Work
Abhinav Kalyan & Samaj Sevi Sanstha,"Ajayratnam Ring Road, Choprapara Ambikapur",Surguja,akash.chhattisgarh@gmail.com,NOT AVAILABLE,? 91-94252 56597,"91-7774-222396, 91-7752-416773",Uplift of poor tribal and other backward communities living below poverty level1 child right.
Aadivasi Seva Sansthan,"72, A-7, Balco Nagar",Korba,pshukla_prabhat@rediffmail.com,NOT AVAILABLE,? 91-99814 43180,,Save the Bastar.
AAHAWAN,"Ramayan Nemna Ring Road, Gangapur, Ambikapur",Ambikapur,aashu_tax@indiatimes.com,NOT AVAILABLE,? 91-98261 80896,,
4 U Services,"1st Floor, Gaurav Path, Telibandha, Allahabad Bank Building",Raipur,foru.30@rediffmail.com,NOT AVAILABLE,91-94792 02208,"1st Floor, Gaurav Path, Telibandha, Allahabad Bank Building","Health camp, education."
AAKANKSHA,"LIG 258, Padmanabhpur",Durg,ad@amesat.com,NOT AVAILABLE,91-99699 49208,,"Education, child development."
Aakanksha Lions School for Mentally Handicapped,"Avanti Vihar, Raipur",Raipur,aakankshalsmh@yahoo.com,NOT AVAILABLE,91-98268 45678,"91-771-4013771, 91-771-2443761",Disability
Action Health & Education Society,"C 108 Om Complex, Fafadih",Raipur,actionhes@yahoo.co.in,NOT AVAILABLE,91-98271 15660,91-771-3208844,
Adarsh Navyuvak Mandal,"Swa Shakti Counselling Center, Near Gramin Bank",Rajnandgaon,anmngo@gmail.com,NOT AVAILABLE,,91-7744-288492,Social networking
AGRANI,"Jamkot Para, Kondagaon",Bastar,hanifja@gmail.com,NOT AVAILABLE,,91-7786-242970,Social development
Adarsh Prahari Samaj Sevi Sanstha,"Nehru Ward Near, Karbala, Ambikapur",Surguja,ap_ngo@yahoo.co.in,NOT AVAILABLE,? 91-98261 68359,,Livelihood support
Aditya Wahini,"Aditya Wahini, Bemetara",Durg,,NOT AVAILABLE,,? 91-7824-222533,"? Agriculture, Education, Environment, Health, Intellectual property, Rural Development, Water"
Akta Welfare Society,"Khaira (Lagra), Pandhi, Sipat",Bilaspur,aktawelfaresociety@gmail.com,NOT AVAILABLE,81203 48834,,"Art And Craft, Art And Culture, Education, Training."
Aditi Samaj Sewi Sanstha,"A-1, Aadersh Vihar, New Purena",Raipur,aditisamaj@gmail.com,NOT AVAILABLE,? 91-98271 76709,91-771-2411748,
Alert Foundation,"264b, Resali Sector",Bhilai,alertfoundationcg@gmail.com,NOT AVAILABLE,8234 081772,0788-2982318,"Animal Welfare, Art And Craft, Art And Culture, Child Welfare, Cultural Issues, Disability, Disaster Management, Education, Health, Hiv Aids, Human Development, Human Rights, Media, Medical Relief, Old Aged Welfare, Poverty, Rural Development, Urban Development, Volunteers, Women Development Welfare, Women’S Issues."
Alternative for Agriculture and Rural Movements Society,"Kurra, Tarsiva",Dhamtari,ngoaarm@gmail.com,NOT AVAILABLE,83051 69019,,"Governance, Group Promotion, Information And Communications Technology, Livelihood, Plantation, Self Help Groups, Right To Information, Water, Women Development/Welfare."
Anchalik Shaikshinik Kshetra Vikas Samiti,"Shyam Ji Marg, Surajpur",Surguja,askvs_ngo@yahoo.co.in,NOT AVAILABLE,,91-7775-266177,
Amay Foundation,Sundar Nagar,Raipur,amayfoundation@gmail.com,NOT AVAILABLE,98269 40009,0771-2242000,"Development, Plantation, Pollution, Population, Urban Development."
Amaseoni Gram Vikas Samiti,"Vidhan Sabha Road, Amaseoni",Raipur,mks_ryp@yahoo.co.in,NOT AVAILABLE,90390 64442,,"Agriculture, Art And Culture, Awareness Generation, Health, Micro-Enterprises, Rural Development, Training, Waste Management, Water, Women Development/Welfare, Yoga, Youth For Villager Youth Games, Education & Arts & Culture Programe."
Ansh Samaj Sevi Sanstha,"876/3/B, Balco T/S",Korba,ansh_ngo@yahoo.co.in,NOT AVAILABLE,,91-7759-217449,Rural development.
