A Ideal Children’s Care Organistion,"E-617, Anand Niwas",New Delhi,aiccosuggestion@gmail.com,,91-92137 38317,NOT AVAILABLE,Education
A Way of Happiness Educational Society,"A-945, Sangam Vihar, New Delhi",New Delhi,awohesociety@gmail.com,NOT AVAILABLE,70534 71730,,"Art and Culture, Education, Women’S Issues, Youth"
Aaddinath Lakshya Education & Welfare Society,"153/1 Blk-A, Inder Enclave, Phase-2",Delhi,sunilmax472@gmail.com,NOT AVAILABLE,98712 03472,,"Adolescent Girls Welfare, Agriculture, Art And Culture, Forestry, Hiv/Aids, Mentally Handicapped Persons, Pollution."
A Real Encourage,"R-277/8-GF, 6, Sir Syed Road, Joga Bai Ext., Jamia Nagar",New Delhi,a.real.encourage@outlook.com,NOT AVAILABLE,86768 40626,,"Child Welfare, Education, Health, Library."
AADHAAR,"44, Bharti Artist Colony",Delhi,aadhaar@gmail.com,,91-93135 60709,NOT AVAILABLE,Designing and marketing the products of handloom weavers and rural crafts men and reviving the.
A Progressive Infotech Studies & Welfare Organisation,"B-21, 10, Shiv Mandir Road",Delhi,vikasgarg27@hotmail.com,,91-99110 06230,NOT AVAILABLE,Computer program.
Aagaz,"122, 2nd Floor, Old Gupta Colony, Near Kalyan Vihar",Delhi,aagazgs@gmail.com,NOT AVAILABLE,98187 07671,,"Adolescent Girls Welfare, Advocacy On Social Issues, Awareness Generation, General – Social Welfare, Legal Awareness, Social Awareness, Women Development/Welfare, Women’S Issues, Youth."
A Noble Society of Helping Hands,"E 368, Nirman Vihar",Delhi,ansh@in.com,,91-99533 99334,NOT AVAILABLE,Social service.
Aakaash Bharti Society,"D-17,198, Sector-3, Rohini",Delhi,aakaashbharti@gmail.com,"91-11-32450837, 91-11-27513635",,NOT AVAILABLE,F.H.I.C.
Aakar Foundation,"D 100, 03-Apr",New Delhi,aakarindia@aol.in,91-11-65152261,,NOT AVAILABLE,
Aalari Society,"390, Pkt-II, Sector-19",New Delhi,aalari_diya@yahoo.co.in,,91-98180 95254,NOT AVAILABLE,
Aarambh Foundation,"3099, Sector 23, Gurgaon",Delhi,aarambhfoundation.ngo@gmail.com,NOT AVAILABLE,99114 05330,,"Adolescent girls welfare, advocacy on social issues, art and culture, awareness generation, child labour, child rights, child welfare, climate change, corporate social responsibility, e-learning, education, employment, environment, food and nutrition."
Aanandam Trust,"36/1/5, Yusuf Sarai, Near Uphaar Cinema, Green Park",Delhi,aanandamtrust2015@gmail.com,NOT AVAILABLE,99104 45519,,"Adolescent Girls Welfare, Child Welfare, Community Development, Development (General), Education, Employment, Health, Old Aged Welfare, Rural Development, Social Awareness, Training."
Aapka Apna Samaj,"6401/7, Street-4, Dev Nagar, Karol Bagh",New Delhi,aapka.apna.samaj@gmail.com,NOT AVAILABLE,95607 86369,,"Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Disaster Management, Education, Employment, Environment."
AAROHAN,"B-127, Malviya Nagar",Delhi,aarohansociety@gmail.com,91-11-65951911,,NOT AVAILABLE,Education
