Aadivasi Vikas Yuva Trust,"Alirajpur Road, Khos-Vasedi, Chhota-Udepur",Vadodara,jagdishpatel71@gmail.com,91-2669-232465,91-96620 35465,NOT AVAILABLE,"Health, water, woman empowerment, rural development, agriculture."
Aasmaan Foundation,"19, Dashaporvad Society, Besides Navchetan School, Paldi",Ahmedabad,contactus@aasmaanfoundation.org,NOT AVAILABLE,"92286 02313, 90330 11541, 97275 89508",,"Awareness Generation, Child Labour, Child Rights, Child Welfare, Social Awareness."
Aadhar Foundation,"15, Rameshwarnagar, Opp. Nirma Modhera Road, Mehsana",Mehsana,aadhar.mehsana@rediffmail.com,NOT AVAILABLE,"90990 80333, 99787 23202",,"Child Welfare, Development (General), Education, Food And Nutrition, General – Social Welfare."
Aaradhya Foundation,"3/A, Tulsi, Opp.Jain Temple, Mahavir Nagar, Hadka Mill Road, Godi Road",Dahod,aaradhyafoundationdahod@gmail.com,NOT AVAILABLE,"98989 68596, 84908 50123",,"Agriculture, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Consumer Issues, Corporate Social Responsibility, Cow Protection Centre (Goushala), Cultural Heritage., Cultural Issues, Development (General), Distance Learning, E-Governance, E-Learning, Economics And Finance, Education, Employment, Environment, Fair Trade, Food And Nutrition, General – Social Welfare, Governance, Grants/Aids, Group Promotion, Health, Hiv/Aids, Human Development, Human Rights, Indigenous Knowledge, Information And Communications Technology, Infrastructure, Labour, Legal Awareness, Livelihood, Medical Relief, Rural Development, Science And Technology, Social Awareness, Right To Information, Trade And Industry Welfare, Traditional Health, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Women Development/Welfare, Women’S Issues, Youth Swachh Bharat."
Aadhaar Foundation,"B/18, Shri Rampark Society, Brahmakumari Road",Patan,aadhaarfoundation2015@gmail.com,NOT AVAILABLE,84607 83138,02766-220448,"Development (General), E-Learning, Education, Group Promotion, Human Development, Human Rights, Labour, Old Aged Welfare, Society And Economy."
AAG – Activists Action Group,"H 54, Shivam Tenaments, NR Gowardhan T/ship, Waghodia Dabhoi Ring Road",Vadodara,aag.ngo@gmail.com,,91-98247 22370,NOT AVAILABLE,"Drinking water, agriculture, rural development, education, women, street children, microfinance."
AADHAR,"C 281, Bhavna Tenaments",Ahmedabad,mail_aadhar@yahoo.co.in,,91-98797 73066,NOT AVAILABLE,Arts and crafts revival.
Aaryaa Biotech Centre,"Opp. Gujarat Stasdium Motera Road, Sabarmati",Ahmedabad,aaryaabiotechcentre@gmail.com,91-79-27502299,91-98244 14055,NOT AVAILABLE,Development work
Aavishkaar India Micro Venture Capital Fund,"3rd Floor Khemha House, Drive in Road, Opp Drive in Cinema",Ahmedabad,a.mitra1@lse.ac.uk,"91-79-7457611, 91-79-7450378",,NOT AVAILABLE,"Economics and Finance, Micro-enterprises"
Abhisek Education and Charitable Trust,"Block-17/3, Thakkarbapanagar",Ahmedabad,abhisekeducation_charitabletrust@yahoo.in,NOT AVAILABLE,83474 33996,079-22803118,"Art And Craft, Blindness, Ngo Management, Old Aged Welfare, Physically Disabled, Rural Development, Shelter Home, Right To Information, Urban Development, Women Development/Welfare, Women’S Issues."
Adarsh Welfare And Cheritable Trust,"First Flor, City Plaza Complex, Opp. Bus Stand, Modasa",Aravalli,adarshmm2014@gmail.com,NOT AVAILABLE,99749 89486,02774-248108,Health.
Ability on Wheels Charitable Trust,"B-334, Sobo Center, Bopal",Ahmedabad,info@abilityonwheels.org,NOT AVAILABLE,70460 33888,,"Disability, Plantation"
Adivasi Dev Vikas Trust,"Ghantoli, Bhagva Faliya, Mandvi",Surat,dev_vikastrust@yahoo.in,91-262-3295666,91-99257 72576,NOT AVAILABLE,"Education & literacy, women empowerment, child development, rural development, agriculture, animal care."
Adhikar,"Khkhariya, Baroda",Baroda,nrupen_sw@yahoo.co.in,,91-99244 52659,NOT AVAILABLE,Help for women and child labour.
Adivasi Navrachanatmak Rural Development Foundation Trust,"Shivkrupa Banglow, Pramukh Park, Abrama",Valsad,denishmistry.552@gmail.com,NOT AVAILABLE,81540 29992,02632-227229,"Agriculture, Animal Welfare, Awareness Generation, Corporate Social Responsibility, Development (General), Education, Employment, Energy, Environment, Food and Nutrition, Forest Management, Forestry, Health, Hiv/Aids, Infrastructure, Irrigation, Ngo Management."
Adoption of Rural Perception and Accessment of their Needs,"2nd Floor, Motabhai Market, Gayatri Mandir Road",Himmatnagar,,91-2772-46714,,NOT AVAILABLE,Rural Development
Advancement of Rural People and Nature,"77, Laxminarayan Society, Gaytrimandir Road",Himmatnagar,arpan_in@yahoo.com,91-2772-35196,,NOT AVAILABLE,
Aga Khan Health Service India,"902, Karma Complex, Opp Maha Lakshmi Municipal Market",Ahmedabad,,"91-79-6640850, 91-79-664083",,NOT AVAILABLE,"Development(General), Disadvantaged communities"
Aga Khan Rural Support Programme,"2nd floor, Choice Building, Swastik Char Rasta",Ahmedabad,akrspi@icenet.net,"91-79-6427729, 91-79-6420864",,NOT AVAILABLE,"Development(General), Disadvantaged communities, Poverty, Women’s issues"
Ahmedabad Study Action Group,"Kashmira Chambers,, B/H Popular House, Navrangpura",Ahmedabad,asag@ad1.vsnl.net.in,91-79-26589093,,NOT AVAILABLE,"Activist, Educational"
Ahmedabad Shaher Samaj Shikshan Samitee,"Majoor Kalyan Kendra Building, Opp Mahipatram Ashram, Raipur",Ahmedabad,,91-79-2144809,,NOT AVAILABLE,"Child welfare, Education"
Ajeet Rural Development Foundation,"E-123, Hardham Society, Krishna Nagar, Behind Parshwanath Township, New Naroda",Ahmedabad,idodiya@yahoo.com,,91-99243 00805,NOT AVAILABLE,
Ahmedabad Women’s Action Group,"48, Somnath Nagar, Vijyanagar Road",Ahmedabad,,"91-79-7470036, 91-79-7434122",,NOT AVAILABLE,Women’s issues
Akhil Bhartiya Jan Kalyan Parishad,"S-10, Shriji Complex, Sec 13/A",Gandhinagar,aijkp@yahoo.in,,91-93283 86496,NOT AVAILABLE,
Akhil Gujarat Badhir Vikas Sangh,"23, Ashok Colony, R.V. Desai Road",Vadodara,,91-265-424781,,NOT AVAILABLE,Disability
Akhil Gujarat Sewa Sangh,"9, Suryadev Nagar, Society Camp Road",Ahmedabad,dj_sunny4u@yahoo.com,91-792-2863545,,NOT AVAILABLE,To help common people.
Akshar Education and Charitable Trust,"Devgana, Sihor",Bhavnagar,pareshjanimsw@gmail.com,NOT AVAILABLE,94281 83241,02846-290017,"Adolescent Girls Welfare, Advocacy On Social Issues, Agriculture, Ayurveda, Development (General), Disaster Management, E-Governance, General – Social Welfare, Health, Hiv Aids, Human Development, Legal Awareness, Livelihood, Media, Medical Relief, Ngo Management, Old Aged Welfare, Public Administration, Sex Workers Welfare, Right To Information, Women Development Welfare, Youth."
Akshayaa Development Foundation,"305, Bhikhaji Regency, Char Rasta",Vapi,brizbala27@gmail.com,91-2603-2016155,91-94290 59713,NOT AVAILABLE,"career counseling, environment protection and creating a healthy India."
All India Disaster Mitigation Institute,"411-412 Sakar Five, Ashram Road, Behind Natraj Cinema",Ahmedabad,dmi@icenet.co.in,"91-79-26586234, 91-79-26583607",,NOT AVAILABLE,To build up human security for the most vulnerable victims of disaster.
All India Social Educational Charitable Trust,"A-2, Gokul Apartment, Nr. Mira Cinema Char Rasta",Ahmedabad,aisect17166@gmail.com,91-79-30420790,,NOT AVAILABLE,"Social education for poor, uneducated, unknown of Indian human law, unjustified people help etc."
Ambar Khadi Gramodhyog Seva Sang,"11 Shiv Shakti Society, Ukaradi Road",Dahod,abhi.meda@yahoo.com,,91-99136 37926,NOT AVAILABLE,Social service
Ambedkar Trust,"Kukad, Ghogha",Bhavnagar,valjianjara@yahoo.in,,91-99094 90493,NOT AVAILABLE,Social work
AMC Aids Control Society,"B/H Lal Bungalow, Navrangpura Telephone Exchange",Ahmedabad,acs_amc@icenet.net,"91-79-6468653, 91-79-6409857",,"B/H Lal Bungalow, Navrangpura Telephone Exchange",Health
Anarde Foundation Vasada,"B/s SBI Bank, New office Building, Dharampur",Valsad,shivabimal@yahoo.in,91-2633-242242,91-94285 42017,NOT AVAILABLE,To work at national level.
Andh – Apang Kalyan Kendra,"Jantanagar Road, Ghatlodia",Ahmedabad,,91-79-27412681,,NOT AVAILABLE,"Child welfare, Education, Employment, Food and Nutrition, Training"
Apang Manav Mandal,"Opp. Ama Center, B/h Atira, Vastrapur",Ahmedabad,apangmanavmandal@yahoo.com,91-79-26302643,91-98242 36684,NOT AVAILABLE,"Education, health, disability."
Apex Education & Development Society,"Near Vohramusafir Khana, Station Road",Dahod,almahq@hotmail.com,91-731-253902,91-99265 64105,NOT AVAILABLE,Education
Apang Abhuday Mandal,"Sarkhej – Gandhinagar Highway, Opp New High Court, Sola",Ahmedabad,,91-79-27456312,,NOT AVAILABLE,"Child welfare, Education, Training"
ARY Skill Development,"Kesavbaug society, Tata Nagar, Meghaninagar",Ahmedabad,info@hamaripathshala.org,,91-93505 43669,NOT AVAILABLE,"Ecucation, microcredit, vocational training, life skill training, workshops for youth development."
Arya Samaj Gandhidham Charitable Trust,"DBZ-N-157, Near Zanda Chowk, Gandhidham",Kachchh,aryagan@aryagan.org,91-2836-231223,91-94280 06232,NOT AVAILABLE,Rearing of Underprivileged Children
Asha Deep Foundation,"24, Vinayak Nagar, Nr. Bhuravav Road",Godhra,adf_office@yahoo.co.in,,91-94275 20679,NOT AVAILABLE,Development
Arvalli Janvikas Sangh,"Conscious Interlude, Near Bus Station, Old Koba",Gandhinagar,outsideronly@ovi.com,"91-79-26862242, 91-79-26862246",91-99253 88565,NOT AVAILABLE,"Water, rural development, agriculture."
Ashapura Manav Kalyan Trust,"G-1, Jafran App. Kanchan Janga Society, Vapi",Valsad,ashapuramanvkalyanseva@gmail.com,NOT AVAILABLE,98241 86890,02602 465890,"Social Awareness, Traditional Activist (Guni) Mobilisation, Right To Information, Trafficking Of Women, Women Development/Welfare, Women’S Issues."
Anusandhan,"G/P4 Indraprastha, Drive-in-road",Ahmedabad,annusandhan@anusandhan.org,"91-79-27473495, 91-79-27444578",,NOT AVAILABLE,"Environment, Urban Development"
Apang Manaj Seva Sangh,"Jay Khodiyar, Chora-Pa",Amreli,suresh_geet@yahoo.co.in,,"91-98793 30872, 91-94268 52843",NOT AVAILABLE,Handicapped also try to give them good in life empower them.
Andh Kalyan Kendra,"B/H, Paramsukh Society, Nr. Vihar Park, Ranip",Ahmedabad,gian@satyam.net.in,91-79-7520434,,NOT AVAILABLE,Disability
ARZOO,"Jai Masiha Colony, Near Suvidha Flats, Behind AMTS Workshop",Ahmedabad,arzookids@gmail.com,,91-93740 41393,NOT AVAILABLE,Education for children and livelihood generation for women.
ASP Foundation,"Laxmi Nivas, 44, Shivdas Nagar Society",Vadodara,aspfoundation@yahoo.co.in,91-265-6481141,,NOT AVAILABLE,To work for the development of rural & tribal communities.
Ashray Trust,"86, Adarash Bunglaws, Collage Road, Motipura",Himmatnagar,ashraytrustindia@gmail.com,91-2772-2248210,91-97261 58494,NOT AVAILABLE,Education
Astha Foundation,"3rd Line, Brijeswer Colony",Palanpur,aasthap4@yahoo.co.in,,91-99986 23077,NOT AVAILABLE,
Astha Devlopers and Cheritabal Trust,"14-B, Nagrikbank Society, Madhuram Timbavadi",Junagadh,aasthadevlopers@gmail.com,NOT AVAILABLE,98252 62704,,"Working On Different Govt. Schemes, Devloping Rural Area,Lift Irrigation, Enviormental Project, Water Resource Project."
Asian Cerebral Palsy Trust,Ahmedabad,Ahmedabad,darshanakeya2005@yahoo.com,91-79-26000640,91-99241 81291,NOT AVAILABLE,Cerebral palsy.
