ACT -Action in Community and Training,"F 3/314, Southend Apartsments, Charmwood Village, Surajkund Road",Faridabad,act_ngo@yahoo.co.uk,NOT AVAILABLE,91-93139 84414,91-129-4116752,Women & child development.
Abhavgrast Gramin Shram Sansathan,"654, Jawahar Colony, N.I.T.",Faridabad,waliaindia1@rediffmail.com,NOT AVAILABLE,91-98737 26323,,Partnership for the rights of marginalised and unorganised.
AACCWES,"121/31, Laxman Vihar",Gurgaon,aaccwes@yahoo.com,NOT AVAILABLE,91-98115 45893,,Aida & cancer care.
Abbasi Foundation,"3 A Janta Bazar, Tauru",Mewat,karimassociate8@gmail.com,NOT AVAILABLE,"91-98123 53806, 91-99919 75809",91-1267-283288,Education
3-E Innovative Foundation,"A-364-A, Palam Vihar",Gurgaon,3eifoundation@gmail.com,NOT AVAILABLE,91-99711 89606,,Education and innovation.
AASTITVA,"DC 1515, Dabua Colony",Faridabad,georgemasih702@gmail.com,NOT AVAILABLE,"91-97180 07008, 91-98102 99175",,"Good education to slum, road side & village area children."
A New Friends Club,"Nidana, Jind",Jind,anfc2000@yahoo.com,NOT AVAILABLE,91-94164 84636,91-1681-232122,"Health, education."
Aashray Bharat,"60, Sehatpur",Faridabad,aashraybharat@gmail.com,NOT AVAILABLE,,91-98910 89866,"To create awareness among to people against social avil such as dowry, female foeticide etc."
Adhikaar The Rights Path,"SCO 1, Govindam Complex",Gurgaon,mail@adhikaar.in,NOT AVAILABLE,,91-98100 60673,"Consumer, civil & human rights."
Adarsh Gram Udyog Samiti,"Adarsh Gram Udyog Samiti, Rasina, Fatehpur",Kaithal,,NOT AVAILABLE,,91-184-280772,Rural Development
Adarsh Kala Sangam Samiti,"Shankar Colony, Old DC Road, Near Railway Over Bridge",Sonipat,adarshkalasangamsamiti@gmail.com,NOT AVAILABLE,91-94671 04797,91-130-2200805,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Adarsh Rural Development Society,"30, Kadarpur",Gurgaon,ards123@gmail.com,NOT AVAILABLE,91-98990 65577,,Health & educational activities.
Adarsh Samaj Sahyog Samiti,"909, Sector 9",Faridabad,info@adarshsamaj.org,NOT AVAILABLE,91-98733 42449,91-129-2295672,Child
Adarsh Yuva Mandal,"1076, 13th Street, Hansi Road",Karnal,rajivsharma_222@rediffmail.com,NOT AVAILABLE,,91-184-2241814,
Adrash Paramedical Welfare Association,"Loharu Road, Uttam Nagar",Bhiwani,adarshmitc@rediffmail.com,NOT AVAILABLE,91-97290 80045,,"Running school, college, ITI, Special work on CP, Paralysis, Poor childeran education, old age care home."
Adra India,"Adventist Development & Releif Agency, 45 Kusum Marg, H-Block, DLF-1",Gurgaon,info@adraindia.org,NOT AVAILABLE,,91-124-4056634,Community development & emergency management.
AERDS – Agriculture Environment Rural Development Society,"275. T.P. Scheme, 9, B/h Jain Girl Sr. Sec. School",Rewari,aerdindia@rediffmail.com,NOT AVAILABLE,91-98132 44757,91-1274-257927,
Agrasar,"A-261, South City -1, Gurgaon",Gurgaon,pallavi@agrasar.org,NOT AVAILABLE,80562 38739,,"Education, Employment, Livelihood, Sustainable Development, Women Development/Welfare, Youth."
Akhil Dehat Vikas Evm Neat society,ladrawan,Jhajjar,advens2014@hotmail.com,NOT AVAILABLE,"97188 39435, 99921 13069",,"Adolescent Girls Welfare, Advocacy on Social Issues, Awareness Generation, Community Development, Education, Employment, Hiv/Aids, Labour, Law, Legal Awareness, Library, Training, Women Development/Welfare, Women’s Issues."
Aggarwal Para Medical Society,"D-727, Chawla Colony",Ballabgarh,dratulaggarwal@yahoo.com,NOT AVAILABLE,91-98100 67194,,Awareness of health care
Akhil Haryana Apradah Nisedeh Sasthan,"587/1, Lal Bahadur Shastri Nagar",Rohtak,ahans.sharma@gmail.com,NOT AVAILABLE,91-98120 55718,,To stop voilence in society.
Akhil Bhartiya Eklavya Janhit Society,"432 Sector 8, Urban Estate",Karnal,info_eklavya@yahoo.com,NOT AVAILABLE,91-98964 34569,,Social service
Alakh Sewa Trust,"21, Geeta Complex",Rohtak,kooldureja@rediffmail.com,NOT AVAILABLE,,91-1262-255906,"Poor children education, remove aids, develop agriculture technology."
Akhil Bhartiya Sarvjatiya Vikas Manch,"1, Ashok Vihar",Gurgaon,san_info@usa.com,NOT AVAILABLE,91-98911 62121,,To make a bunch in India.
All India Anti Reservation Front,"Dt-146, Tirkha Colony",Faridabad,antireservationmorcha@gmail.com,NOT AVAILABLE,93105 30941,0129-2249188,"Advocacy On Social Issues, Awareness Generation, Child Labour, Child Rights, Child Welfare, Corporate Social Responsibility, Cow Protection Centre (Goushala), Disaster Management, Employment, General – Social Welfare, Human Rights Working For Social, Economical, And Skill Development Of Poor Indians, For Each Caste And Religion."
All India Literacy Development Committee,"730/1, Koltla, Sukhdev Nagar",Panipat,aildc2001@yahoo.co.in,NOT AVAILABLE,,91-180-2640233,
Anadi Seva Parakalp,"555, Sec 21/C",Faridabad,pranav.shukla@anadisevaprakalp.org,NOT AVAILABLE,91-98100 17422,91-129-6454689,Upliftment of the society
All India Youth Association,"C/O Fitness Express GYM, C 14, Surya Vihar, Nr. 4 Sec. Police Chowki",Gurgaon,sandeep17107@yahoo.com,NOT AVAILABLE,91-78272 28225,91-124-4079965,Cultural and social activities.
Amazing Help,"Lohchab, Near Water Tank",Jind,amazinghelp2016@gmail.com,NOT AVAILABLE,"90506 65690, 74046 05690",,"Child Welfare, Climate Change, Community Development, Education, Environment, General – Social Welfare, Human Development, Women Development/Welfare, Women’S Issues, Youth Rural Devlopment."
Ankush Foundation,"1921 A, Saket Colony",Hisar,ankush.foundation@gmail.com,NOT AVAILABLE,92155 00931,,"Anti Drug Campaign, Cow Protection Centre (Goushala), Education, Hiv/Aids, Old Aged Welfare, Orphanage, Sex Workers Welfare, Shelter Home, Trafficking Of Women."
All India Samaj Sewa Kendra,"4, Krishna Colony, Kamani Chowk",Yamuna Nagar,manmohan_singh98@yahoo.com,NOT AVAILABLE,91-93158 96709,,Eradication of poverty through microfinance & sustainable livlihoods.
Aniket Ashray,"4507, Sec 23 A, Huda",Gurgaon,mitleshkochhar@yahoo.co.uk,NOT AVAILABLE,91-98109 83426,,Service to the society with whole hearted emphasis on the under privelleged and the deprived.
Apna Bank Council,"Blue Lane Udyog Nagar, Near Bhagwati Cinema, Dhani Road, Charkhi Dadri",Bhiwani,phogatabc@yahoo.co.in,NOT AVAILABLE,,91-1250-220400,Rural development & self employment to rural youth through enterpreneurship development programme.
Apni Duniya Apna Ashiana,"ADAA Welfare Society, 213, Sector 14",Gurgaon,contact@adaa.in,NOT AVAILABLE,91-98102 45996,91-124-4083193,"Helping, assisting and guiding the lives of street children, orphans, physically handicapped children."
Arsan Educational And Social Organisation,"Vpo Bhadas, Nagina, Mewat",Mewat,arsinafoundation@gmail.com,NOT AVAILABLE,9671583009,0126-8273465,"Child Rights, Child Welfare, Education, Grants/Aids, Hiv/Aids, Livelihood, Minorities, Ngo Management, Self Help Groups, Society And Economy, Training, Women Development/Welfare Education Health."
ANSH,"414, Model Colony",Yamunanagar,rupinderkaur1973@yahoo.com,NOT AVAILABLE,91-98965 53089,91-173-2267180,"Women empowerment, rural development."
ASK – Association for Stimulating to Know How,"V-30/3, Phase-III, Gurgaonx",Gurgaon,askindia@ndf.vsnl.net.in,NOT AVAILABLE,,"91-124-4060353, 91-124-4060354",Association
Ashish Fellowship Society,"Prarthan Bhawan, Suder Nager (DRM)",Amabala,pastorphilipdavid@yahoo.co.in,NOT AVAILABLE,,91-171-2005642,Mentally challenged and semi-orphan and orphan.
Ashadeep Sewa Samiti,"172, Karnal",Karnal,ashadeepsewasamiti@gmail.com,NOT AVAILABLE,,91-184-2283072,Rural development
Association for Development of Indian Traditions Youth & Art,"1E-21 BP Near Geeta Mandir, NIT",Faridabad,bali@faridabad.com,NOT AVAILABLE,,"91-129-2415427, 91-129-2420485","Aged, Art and culture, Education, Rural Development, Training"
AWARES,"Tehsil Complex, Chautala Road",Mandi Dabwali,ka8252@gmail.com,NOT AVAILABLE,91-94162 16468,91-1668-230068,To make people aware about their rights and duties and social and national responsibilities.
Arsina Foundation,"Vpo. Bhadas, Nagina, Mewat",Mewat,arsinafoundation@gmail.com,NOT AVAILABLE,"96715 83009, 9467344603",,"Advocacy On Social Issues, Awareness Generation, E-Governance, Education, Grants/Aids, Health, Hiv/Aids, Information And Communications Technology, Legal Awareness, Livelihood, Ngo Management, Social Awareness, Training, Tribal Development, Women Development/Welfare, Women’S Issues, Youth."
Baba Yogi Neranath Trust,"Lohani, Bhiwani",Bhiwani,vinodknsharma@gmail.com,NOT AVAILABLE,91-98200 33393,91-223-855307,Health
