All India Social Awareness Society,"Kangoo, Nadaun",Hamirpur,aisas.india@gmail.com,NOT AVAILABLE,"91-94182 57722, 91-94187 82742",91-197-2231942,Awareness
ASHIYANA,"Gumma, J.Nagar",Mandi,physiorathore83@rediffmail.com,NOT AVAILABLE,91-94188 48043,,Community welfare
Akta Yuva Mandal,"Sehoty, Jalari",Nadaun,mukesh_sharma0129@yahoo.com,NOT AVAILABLE,91-92167 49608,,
Aashray Welfare & Awareness Foundation,"Nh-21, Naresh Chowk, Sunder Nagar",Mandi,aashraysnr@gmail.com,NOT AVAILABLE,94595 95994,0190-7262211,"Child Welfare, General – Social Welfare, Hiv/Aids, Old Aged Welfare, Physically Disabled, Social Awareness."
ABHIVIBHA,"Geeta Bhawan, Dhingoo Hill, Sanjauli",Shimla,abhivibhango@yahoo.com,NOT AVAILABLE,,91-177-2835203,"Education, health, women empowerment, child development, environment, old age care any other."
Anahita Foundation,"Chadiar Complex, Behind State Bank of Patiala, Near Chowk",Mandi,saini.pawankumar@rediffmail.com,NOT AVAILABLE,"92186 16100, 92186 16300",,"Agriculture, Art And Culture, Awareness Generation, Child Labour, Community Development, Cow Protection Centre (Goushala), Cultural Heritage., Cultural Issues, Development (General), Distance Learning, E-Governance, E-Learning, Economics And Finance, Education, Employment, Forestry, Grants Aids, Group Promotion, Health, Herbal Medicine, Human Development, Information And Communications Technology, Infrastructure, Irrigation, Legal Awareness, Local Self Governance (Panchayati Raj), Medical Relief, Micro-Enterprises, Old Aged Welfare, Orphanage, Plantation, Poverty, Rural Development, Sanitation, Science And Technology, Society And Economy, Right To Information, Urban Development, Women Development Welfare, Youth."
Animal Welfare League Of Himachal,"Shamshi, Bhuntar",Kullu,awlh_kullu@hotmail.com,NOT AVAILABLE,94183 57300,,"Animal Health, Animal Welfare, Awareness Generation, Climate Change, Cow Protection Centre (Goushala), Forest Management, Forestry, Plantation, Wildlife."
ARPIT – Action by Responsible Philanthropists in Time,"Jaswal House, Vikas Nagar",Shimla,"khushaljaswal@gmail.com, arpitngo@gmail.com",NOT AVAILABLE,"91-93187 71835, 91-98175 40004",91-177-2626004,Social welfare and upliftment of poor.
Association for Rural & Technical Education Centre,"Malan, Kangra",Kangra,artec_hp@rediffmail.com,NOT AVAILABLE,91-94184 31149,,"To gets maximum information of various training programmes/workshops in the state of Himachal, Punjab."
AWAAZ Social Working Society,"Karsog, Mandi",Mandi,awaaz.ngohp@gmail.com,NOT AVAILABLE,91-94180 93939,91-1907-314103,Every person know his right.
AVNI – Alternatively Very New Ideology,"Parkash Bhawan, Tawi Chowk, Totu",Shimla,directoravni@gmail.com,NOT AVAILABLE,91-98053 66680,91-177-2837131,
Berojgar Yuva Society,"Lambathach, Gohar, Thunag",Mandi,daleep03@gmail.com,NOT AVAILABLE,88945 99909,,"Agriculture, Art And Craft, Art And Culture, Awareness Generation, Community Development, Cultural Heritage., Development (General), E-Governance, Forest Management, General – Social Welfare, Health, Human Development, Human Rights, Social Awareness, Youth."
Center for Rural Development and Social Awareness,"Kotla, Barotiwala",Solan,prasher210@gmail.com,NOT AVAILABLE,98174 09778,,"Agriculture, Animal Health, Awareness Generation, Ayurveda, Child Labour, Child Welfare, Community Development, Development (General), Disadvantaged Communities, E-Governance, Employment, Group Promotion, Herbal Medicine, Hiv Aids, Human Development, Irrigation, Labour, Livelihood, Ngo Management, Pollution, Sanitation, Society And Economy, Right To Information, Trade And Industry Welfare, Trafficking Of Women, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Waste Management, Water, Wildlife, Women Development Welfare, Women’S Issues, Yoga."
Centre for Sustainable Development,"Guleria Building, Sundernagar",Sundernagar,jitenderverma@indiatimes.com,NOT AVAILABLE,91-94184 59434,91-1907-266128,Sustainable development
Career Builders Educational Society,"Main Bazar, Karsog",Mandi,sohansingh279@gmail.com,NOT AVAILABLE,91-94183 06969,,Help NGOs in their fund-raising efforts.
Chetna Samiti Kullu,Bashingpo Babeli,Kullu,cskngokullu@gmail.com,NOT AVAILABLE,98165 34031,,"Agriculture, Awareness Generation, Climate Change, Community Development, Development (General), Disaster Management, Environment, General – Social Welfare, Ngo Management, Rural Development, Sanitation, Self Help Groups, Social Awareness, Waste Management."
Child Rights Foundation Education Society,C/O Stamford International School,Bilaspur,childrightsfoundation@yahoo.com,NOT AVAILABLE,95923 55511,,Social Work
CORD – Chinmaya Organisation for Rural Development,"Sidhbari, Dharamshala",Kangra,cordsidhbari@gmail.com,NOT AVAILABLE,91-94180 36987,"91-1892-236987, 91-1892-234322","Education, health, NRM, water, women empowerment, child development, rural development, disability."
Crescent Educational & Welfare Society,"Canal Road, Bhuppur, Paonta Sahib",Sirmour,nhashmi57@gmail.com,NOT AVAILABLE,91-94180 87586,91-1704-224898,"Education, welfare."
Dev Bhumi Vikas Parishad,"Anni, Kullu",Kullu,,NOT AVAILABLE,91-98171 76723,,"Education, health, self employment"
Development Promoters,"Kajiyara, Delgi, Subathu",Solan,,NOT AVAILABLE,,91-1793-284536,"Development(General), Environment, Health, Sanitation"
Crescent NGO,"C/o Sita Medical Store, Chaugan",Kangra,manojpathania@yahoo.com,NOT AVAILABLE,,,"Environment, health, education."
