Al-Khazir Naqishbandi Medical & Education,"Kulgam, Anantnag",Anantnag,"aknme_ngo@rediffmail.com, alkhazirmes@rediffmail.com",NOT AVAILABLE,"91-96224 02127, 91-94194 51736",,Child hood
Aarifeen Centre for Youth Initative,Chayera Magam,Budgam,parvaizsirji@yahoo.com,NOT AVAILABLE,97961 12408,,"Communications Technology, Self Help Groups, Women Development/Welfare, Youth."
Airborne Socio Economic Education and Employment Society -ASEEDS-K,"Moominabad, Bypass Batmalu Junction",Srinagar,captmuneeb@gmail.com,NOT AVAILABLE,94195 43816,,Social Work
Al-Hafeez Educational Trust,"Exchange Road, Dangerpora",Pulwama,ahetpulwama.11@gmail.com,NOT AVAILABLE,"96225 29287, 90868 04436",,"Education, Information And Communications Technology."
Al-Madad Handicapped Welfare Society,Kari Pora,Budgam,al_madadsociety@yahoo.in,NOT AVAILABLE,98583 53807,,"Anti Drug Campaign, Blindness, Child Labour, Child Welfare, Disability, Education, General – Social Welfare, Hiv/Aids, Livelihood, Medical Relief, Mentally Handicapped Persons, Orphanage, Physically Disabled, Training, Volunteers, Women Development/Welfare."
Alamdar Socialwalfare Organisation,"Qaimoh, Kulgam, Anantnag",Anantnag,alamdarngo@gmail.com,NOT AVAILABLE,"77809 64020, 94193 88311",,"Awareness Generation, Child Rights, Child Welfare, Community Development, Disability, Forest Management, General – Social Welfare, Human Development, Human Rights, Information and Communications Technology, Tribal Development, Tribal Issues, Water."
Al Shujaiat Foundation Jammu and Kashmir,"Near Bus Stand, Tral",Pulwama,al.shujaiatfoundation@my.com,NOT AVAILABLE,98583 41951,01933-290292,Social Work.
Adam Welfare Organisation,"Dooru Anantnag, Anantnag",Anantnag,syed_aushaq@yahoo.co.in,NOT AVAILABLE,"91-94690 64544, 91-88039 04370",,Human welfare
All India Security Council Ngo,"Head Office, Opp. D.C Office, Dewan Bagh",Baramulla,chairmanaisc@gmail.com,NOT AVAILABLE,84910 83124,,Social Work.
All J & K Saffron Growers And Dealer Association,"Namblabal, Pampore, Ladhu Road",Pulwama,president@jksgda.org,NOT AVAILABLE,97965 07070,01933-222250,"Climate Change, General – Social Welfare, Infrastructure, Installation Of Borewells, Livelihood, Rehabilitation, Society And Economy, Women Development/Welfare As Devastating Flood Hits Valley On 6th September 2014 Damaged Occurs In Trillion Of Dollars So Priorty Will Be The Rehablitation And Livelyhood Of Flood Victim."
All J & K Social Educational & Charitable Trust,"Main Chowk, Budgam",Budgam,alljkcharitytrust@gmail.com,NOT AVAILABLE,"70064 55031, 94199 78614",,Social Work.
Ali Asgar Blood Bank Care Foundation,Srinager,Srinager,ngocarefoundation@gmail.com,NOT AVAILABLE,91-94190 05157,91-194-2462787,Social volunteery service.
Amin Social Welfare Trust,"Inderkote, Sumbal Sonawari",Bandipora,amin.swt@gmail.com,NOT AVAILABLE,96973 07112,,"The Charitable Organization Amin Social Welfare Trust Aims To Bring Meaningful Purpose And Well-Being To The Lives Of The People Through The Service, Peace, Purity, And Unity In Deversity And Well-Being By Reconciling Mankind To Each Other And To The God."
