Aadivasis Reformation and Welfare Society (Wars),"Railway Market, Gua",East Singhbhum,warsindia06@gmail.com,NOT AVAILABLE,94307 80682,,"Agriculture, Awareness Generation, Community Development, Development (General), Disability, Education, Employment, Environment."
AAWAZ,"Jamudag, Sonahatu",Ranchi,aawaz05@gmail.com,NOT AVAILABLE,"91-93341 81976, 91-92799 71715",91-651-2818530,"Health, education, employment and rural development."
Aao Hath Milaye,"Purani Ranchi, Near Alpha Gas Godown",Ranchi,aaohathmilaye@gmail.com,NOT AVAILABLE,"98351 97942, 92346 08531",,Social Work.
Acet Swaroger Sangh,"Jerath Compound, Main Road Hinoo",Ranchi,birendraacet@reddifmail,NOT AVAILABLE,,91-651-2506274,Social work
AAINA,"Godhar Basti, Station Road, Kusunda",Dhanbad,aaina.society@gmail.com,NOT AVAILABLE,91-93340 07285,,All social development issues.
Abhivyakti Foundation,"Himani Bhawan, B/s Barganda Sub Post Office, New Barganda",Giridih,avfoundation@gmail.com,NOT AVAILABLE,91-98013 31700,91-653-2227778,Youth engagement in social action.
Aadarsh Gramin Swarajya Sansthan,"Chainpur, Kashyap Muhlla, Near Raja Garh, Daltonganj",Daltonganj,ms.agss@rediffmail.com,NOT AVAILABLE,94307 78008,,Rural Development.
Abhiyaan,"First Floor, Laxmi Narayan Market, Nehru Road, Ramgarh",Ramgarh,meetabhiyaan@rediffmail.com,NOT AVAILABLE,"82522 22221, 94313 99718",06553-231266,Social Work.
Acumen Integrated Mission For Holistic Community Development,"3rd Floor Baban Complex, Korrha, Babu Gaon Chowk",Hazaribag,amit.proactive@gmail.com,NOT AVAILABLE,82923 78827,,"Agriculture, Education, Employment, General – Social Welfare, Human Development, Indigenous Knowledge, Industry, Irrigation, Minorities, Tribal Development, Tribal Issues, Women Development/Welfare, Youth."
Adibasi Welfare Society,"Main Road, Ghorabandha",Jamshedpur,adibasiwelfaresociety@gmail.com,NOT AVAILABLE,91-93344 62979,,Social welfare.
ADWAA – The Adiwasi & other Classes Development & Welfare Autonomus Association,"Shivpahar, Dumka",Dumka,adwaa_dmk@yahoo.co.in,NOT AVAILABLE,91-94311 30434,91-6434-230556,"Charitable purpose, non profit making."
Aditya Vkikas Samiti,"Lachragarh, Pandrutoli",Simdega,ngotrust786@yahoo.in,NOT AVAILABLE,95465 89086,,"Social Work All round empowerment, welfare & development."
Adivasi Mahila Vikash Samiti,East Singhbum,East Singhbum,mardilalit@yahoo.com,NOT AVAILABLE,91-95341 81697,,
Al Falh Minority Foundation,"Khariyodih, Ghoranjee, Deori",Giridih,pa9570202998@gmail.com,NOT AVAILABLE,98347 53342,,"Child Labour, Child Welfare, Women Development/Welfare Found A +2 College."
Akash Jyoti,"Shivpuri, Bilasi Town",Deoghar,Chandra7216@yahoo.co.in,NOT AVAILABLE,91-98352 43284,,
Akhil Bhartiya Sankalp Trust,"Jawahar Nagar, Mission Chowk",Godda,abstrust4u@gmail.com,NOT AVAILABLE,"94703 10900, 72504 40510",,Social Work.
Alhabib Society,"Sir Syed, English School Campus",Jamshedpur,alhabibsociety@gmail.com,NOT AVAILABLE,,91-657-2292240,Social work
Alhelal Educational And Welfare Society,"Jima Chowk, Chandu Kuru",Lohardaga,alhelalngo@gmail.com,NOT AVAILABLE,80026 85364,,Social Work.
Alternative for Human Environment Action Development Society,"C/o Suresh Bhandar, Old Argora Chowk Argora",Ranchi,rameshburman@yahoo.com,,91-92345 94432,NOT AVAILABLE,
