Aasha Deepam,"4 2nd A Cross, 1st Main Cashier Layout",Bangalore,mvnarayanareddy@aashadeepam.com,NOT AVAILABLE,91-98864 81029,,To service for the poor students who are unable making their way to the studies.
Aashna Foundation,"134, Bhandiwade Base, Phatter Phod Street, Hubli",Dharwad,aashna_hubli@yahoo.in,NOT AVAILABLE,94491 27897,,"Advocacy On Social Issues, Animal Health, Art And Craft, Art And Culture, Ayurveda, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Distance Learning, Employment, Rural Development, Self Help Groups, Society And Economy, Training, Women’S Issues Education And Health."
Aasha Kiran,Gulbarga,Gulbarga,,NOT AVAILABLE,,91-8472-256101,"Organisation working among poor for development in health, economy, education."
Aarushi Foundation,"A-101/1, KPWD Qtrs, Jeevan Bheema Nagar",Bengaluru,mohana_nitk@yahoo.co.in,NOT AVAILABLE,91-99001 20071,91-80-40467507,Sponsoring High School Education to poor and need people.
Aadhyan Foundation,"07, 4th Cross, Sapthagiri Layout, Vidyaranyapura",Bangalore,aadhyanfoundation@gmail.com,NOT AVAILABLE,87621 91958,,Social Work
Aashra Foundation,"1845, BDA 1st Stage, 17th Main, 30th B Cross, 5th Block, HBR Layout",Bangalore,info@aashrafoundation.com,NOT AVAILABLE,91-99801 78658,91-80-25439990,"Disabled, cancer, HIV/AIDS, education, orphanage, old age."
Aapatsahaaya Foundation,"154, 4th Cross, GKW Layout, Vijayanagar",Bangalore,afnctc@gmail.com,NOT AVAILABLE,91-98454 98711,91-80-232112447,To provide assistance to people in distress.
Aashayein Foundation,"67/1, 6th Main Road, Chamaraja Pet",Bangalore,info@aashayeinfoundation.org,NOT AVAILABLE,91-98808 77077,91-80-41261065,Education
Abhaya Mahila Kendra,"40, Venu Nilaya, Pipeline, Near Nethaji Circle",Bangalore,pet.hampi@gmail.com,NOT AVAILABLE,,91-80-23378662,Women development
ABHAYAA,"185-T, 36-A Cross, 18th Main",Bangalore,Satish_dn@rediffmail.com,NOT AVAILABLE,91-99860 37083,,Social service.
Abhilasha Global Welfare Society,Vasanth Nagar,Gulbarga,agwsociety@gmail.com,NOT AVAILABLE,82777 75155,,Social Work.
ABILASHRAYAM,"373, 2nd Cross, Muniswamappa Layout, Opp. Kodigehalli Railway Station, Kodigehalli",Bangalore,info@abilashrayam.com,NOT AVAILABLE,91-90084 44443,91-80-23621693,"Orphanage, children."
Abhivrudhi Urban & Rural Development Society,"8 Shastri Nagar, Mailoore Road",Bidar,vijaylaxmi_khushi@yahoo.co.in,NOT AVAILABLE,91-97402 81030,,"Education, financial, shg formation etc."
Ablaashrama,"Dr DVG Road, Basavanagudi",Bangalore,abalashram@yahoo.com,NOT AVAILABLE,,"91-80-6678694, 91-80-5252480",Women’s issues
Academy for Severe Handicaps & Autism,"S 123, Kirloskar Colony, III Stage, IV Blk, Basveswarnagar",Bangalore,info@ashaforautism.com,NOT AVAILABLE,,"91-44-3485279, 91-44-2258103","Child welfare, Disability, Disadvantaged communities, Education"
ABHIVRUDDI,"Society for Social Development, Gubbi",Gubbi,abhigubbi1@yahoo.com,NOT AVAILABLE,,91-8131-222292,Fostering a society wherein women are empowered enough to lead decent life; all children are healthy.
Academy of Nature Rehabilitation,"Vidyanagar, Panjimogaru",Dakshin Kannada,gurubharadwaja@gmail.com,NOT AVAILABLE,,91-824-2231299,Rehabilitation.
ACCESS,"10, andhra Muniyappa Layout, New Chellekere Extn. , Kalyan Nagar",Bangalore,accesscares@yahoo.co.in,NOT AVAILABLE,94482 77064,080-25442350,"Adolescent Girls Welfare, Advocacy On Social Issues, Child Labour, Child Rights, Child Welfare, Community Development, Development (General), Education, Employment, Gender, Health, Human Development, Orphanage, Poverty, Self Help Groups."
ACRUD – Ambedkar Center for Rural Development,"Door No 521, 8th Cross, Vinaya Marg",Mysore,kemparaju.padugur@gmail.com,NOT AVAILABLE,91-94486 03283,,Women and unemployed youths and rural developments.
Action Aid India,"139, Richmond Road",Bangalore,coblr@actionaidindia.org,NOT AVAILABLE,,"91-80-5586682, 91-80-5586284","Disability, Human Rights, Minorities, Poverty, Sustainable Development, Training, Urban Development, Women’s issues"
Action Initiative for Development,"Gowripura, Kyasenahalli, Jagalur",Davanagere,aidorg@rediffmail.com,NOT AVAILABLE,"91-81802 58855, 91-90086 98113",,"Dalit development, women, child development."
Action Initiative for Development [AID],"Gowripura, Kyasenahalli, Jagalur",Jagalur,aidorg@yahoo.in,NOT AVAILABLE,90352 47600,,"Adolescent girls welfare, advocacy on social issues, child labour, child rights, child welfare, community development, disability, disaster management, economics and finance, general – social welfare, hiv aids, human rights, livelihood, local self governance (panchayati raj), poverty, self help groups, social awareness, women development welfare, women’s issues we envisage a society free from all kind of exploitation and injustice and where no one remains hungry, unemployed, illiterate and exploited."
Action Service Hope for AIDS,"58 SBM Colony, 3rd Main  Hebbel",Bangalore,ashaf@satyam.net.in,NOT AVAILABLE,,91-80-3332921,
Action for Water Development Mysore Society,"6, 2nd Cross, CSI Compound",Bangalore,,NOT AVAILABLE,,91-80-2260849,Water
Advi – Siddeshwar Rural Development Society,"Vinayak Nagar, Behind Court",Bailhongal,asrds09_bgm@yahoo.com,NOT AVAILABLE,91-98807 73459,,
AFCARE – Association for Care,"Pushkara 281, 100 Ft Road, 7th Block, IV Phase, III Stage, Banashankari",Rehabilitation & Education of the Mentally Disabled & Disturbed,afcare@rediffmail.com,NOT AVAILABLE,,91-80-26693788,"Disability, Education, Health"
Adres Agricultural Development & Rural Education Society,"Yeldur, Kolar",Kolar,adresorg@yahoo.co.in,NOT AVAILABLE,,91-8159-247225,"A society based on justice, peace and equality irrespective of caste, creed and gender, exploitation."
Acts Of Hope,"Acts Of Hope School, Lovedale Layout, Kasavanahalli, Carmelaram",Kasavanahalli,actsofhope.blr@gmail.com,NOT AVAILABLE,"93411 58445, 94482 75735, 98453 55867",080-65355415,"Corporate Social Responsibility, Education, Giving Free Education To Poor And Underprivileged Children."
Adam Charitable & Educational Trust,"234, Ist Block, Ist Main Road",Bangalore,contactnayaz@yahoo.com,NOT AVAILABLE,91-98456 60967,,"Charitable, educational, medical and food."
Adamya Foundation,"102, Dwarakanagar, Chikkabanavara",Bangalore,adamyafoundation@outlook.com,NOT AVAILABLE,94484 11692,,"Agriculture, E-Governance, E-Learning, Economics And Finance, Employment, Energy, Environment, Industry, Information And Communications Technology, Micro-Enterprises, Ngo Management, Women Development/Welfare."
ADHARA,"1281/23, Ist Stage, Shivakumarswamy Layout",Davangere,k.hemagiri@gmail.com,NOT AVAILABLE,91-98454 59468,91-8192-263246,"Health, education, rehabilitation, rural development and social welfare."
AFCHAA – Association for Community Health Awareness & Action,"28, Ravindra Nagar, Hubli",Dharwad,somukul@gmail.com,NOT AVAILABLE,91-93432 56481,,Community health
Affus Woman Welfare Association,"61, Chetana Colony, Gadag Road",Hubli,Awwa2k@Yahoo.Co.In,NOT AVAILABLE,,91-836-2267786,Community development
AFPRO – Action for Food Production Field Unit II,"56, Hutchins Road, 6th Cross",Bangalore,afu02@afpro.org,NOT AVAILABLE,,91-80-25461711,
Agastya International Foundation,"Kataria House, 219, Kamaraj Road",Bangalore,agastya@vsnl.com,NOT AVAILABLE,,"91-80-25548913, 91-80-25548918",Rural education
AHEAD – Association for Human Empowerment,"Salakatte, Muddenahalli, Chikkanayakanahalli",Advocacy & Development,aheadsalakatte@gmail.com,NOT AVAILABLE,91-98445 24181,,To design and offer programs / workshops on management of rural development.
Agriculture,"368, SNESHA IV Cross, JP Nagar, 3rd Phase",Man & Ecology,amebang@giasbg01.vsnl.net.in,NOT AVAILABLE,,"91-80-26582303, 91-80-26583471","Agriculture, Rural Development"
Aina Trust,"1487 B, LNR Garden Karian Apalaya, Thomas Town",Bangalore,chella@mantraonline.com,NOT AVAILABLE,,91-80-25465061,"Child welfare, Disadvantaged communities, Education, Employment, Food and Nutrition, Health, Human Rights, Micro-enterprises, Sanitation, Training, Urban Development, Women’s issues"
Aghanya Savayava Parivar,Koppal,Koppal,venkanagouda.meti@gmail.com,NOT AVAILABLE,91-98455 09277,91-8539-221577,Organic farming.
AIUS – Arkessence International United Society,"312, 2nd Floor, 26th Cross, 9th Main",Bangalore,info@arkessence.org,NOT AVAILABLE,,91-80-32901536,Social development
Akhar – Sevice of Humanity,"112, 3rd B Cross",Bangalore,query@akharsoh.org,NOT AVAILABLE,91-98867 16690,,Empowerment through education.
Akruti Education And Welfare Society,"Ashirwad Building, Chitaguppi Chawl, Station Road Hubli",Dharwad,akruti.ews@gmail.com,NOT AVAILABLE,95914 15447,,"Child Welfare, Training, Women Development Welfare, Women’S Issues"
Aghori Global Foundation,"8, Thapo Bhoomi, 3rd Main, 3rd Cross, Kottanur Dinne, Main Road, (Near RBI Layout Big Bazar) J.P. Nagar, 7th Phase",Bangalore,aghorisa@gmail.com,NOT AVAILABLE,80888 88688,,"Education, Environment, Food and Nutrition, General – Social Welfare, Health, Herbal Medicine, Hiv/Aids, Human Development, Library, Peace, Physically Disabled, Research, Traditional Activist (Guni) Mobilisation, Training."
Aksharam Charitable Foundation,"3305, Rangashree, 10th Main Road, 33rd Cross, 4th Block, Near Kandala Jewelers, Jayanagar",Bangalore,aksharamcharitablefoundation@gmail.com,NOT AVAILABLE,94812 45350,080-26640077,"Community Development, Education."
AHP – Action on Hunger and Poverty Foundation,"2B, Woodside Apartments, 77, 50 Ft Road, 5th Cross Ngef Layout, Sanjay Nagar",Bangalore,info@ahp.org.in,NOT AVAILABLE,99103 34754,,"Advocacy on social issues, child welfare, community development, disadvantaged communities, education, employment, food and nutrition, forest management, gender, group promotion, herbal medicine, human development, livelihood, local administration, micro-enterprises, natural resource management, ngo management, poverty, research, self help groups, sustainable development, training, tribal development, tribal issues, volunteers, women development welfare local cadre building & advocacy."
Akkamahadevi Jilla Mattad Mahila Sanstha,"Raj Manzil, 67/3, Habib Nagar, Opp. Sainik School Main Gate IInd Road",Bijapur,eoajmmsbjp@yahoo.com,NOT AVAILABLE,91-94817 02325,91-8352-270278,Improvement the NGO for social assistance to poor women and children
All Children Welfare Foundation,"1832, 41 St Cross, Jayanagar",Bangalore,simha1832@rediffmail.com,NOT AVAILABLE,91-98451 95168,,Health & education for the children.
Alpasankhyat Mahila Grameen Abhiruddi Shikshan Sanstha,"Maheboob Nagar, 11th Word, Kushtagi Road",Yelburga,moulahusain@in.com,NOT AVAILABLE,91-99456 97827,91-8534-220786,
Alhindi Welfare Society,"121, Shimoga",Shimoga,dr_abdussalam@yahoo.com,NOT AVAILABLE,91-93433 10945,,Health care.
AID – Action Initiative for Development,"Gowripura, Jagalur",Davagere,aidorg@rediffmail.com,NOT AVAILABLE,91-90086 98113,91-8180-258855,Intregeted development.
Amit Jnana Jyothi Foundation Trust,"9-V, Raju Complex, Old Mysore Bank Road, Anekal Town",Bangalore,amit.jnana.jyothi@gmail.com,NOT AVAILABLE,"81528 24999, 88776 33223",,"Forum to organise and strengthen the economically weaker section, construction worker, taxi, auto drivers and owners, association of sgh group, physicaly disabled challenged person self employed and road hawkers, training, financial assistance and awareness."
Akshara Foundation,"251, K Kamaraj Road",Bangalore,aksharafoundation@gmail.com,NOT AVAILABLE,,91-80-25485800,Education
Ameena Technical Education Society,"744, Mig, 1st Main Road, 2nd Stage, Near Albadar Masjid, Rajiv Nagar",Mysore,hurmathara@yahoo.in,NOT AVAILABLE,98864 50966,,"Adolescent Girls Welfare, Art And Craft, Awareness Generation, Community Development, Education, Legal Awareness, Minorities, Women Development/Welfare Different Type Of Training Programmes For Poor Women."
