ACTS – Accident Care & Transport Service,"District Hospital Compound, College Road",Thrissur,laijuactsthrissur@yahoo.com,NOT AVAILABLE,,91-487-2445500,Road accident free ambulance service.
Ability Foundation of India,"CSI Building, Ground Floor, Pulimood, Statue",Trivandrum,"abilityfoundationindia@yahoo.in, zeno_gany@yahoo.com",NOT AVAILABLE,,91-471-4068656,Disabiltiy camp
AGNI – Ascetic Group of Naturalistic Insights,"Central Office, Venmony",Idukki,babuthekkenthony@yahoo.co.in,NOT AVAILABLE,,91-486-2348188,Nation’s sustainable development.
ADIC – Alcohol & Drug Information Centre,Trivandrum,Trivandrum,adicindia@gmail.com,NOT AVAILABLE,91-94470 58460,91-471-2551221,Prevention of alcohol & substance abuse.
ACT – Ashraya Charitable Trust,"Mannuthy, Thrissur",Thrissur,acthq@ymail.com,NOT AVAILABLE,,91-487-3261957,Education and healthcare.
Aims Foundation Trust,"Kizhavara, Mangalasseril, Naranganam",Pathanamthitta,vlinemd@gmail.com,NOT AVAILABLE,94463 86117,,Social Work.
AGRAGAMI,"Cultural Centre, Kozhikode",Kozhikode,agragamiinfo@gmail.com,NOT AVAILABLE,91-94973 06009,91-496-2652100,Education and social action.
Agency for Social Action & Development in India,"Alunkal Parambu Bhavan Building, Thuravoor, Cherthala",Alappuzha,asadindiaorg@gmail.com,NOT AVAILABLE,91-99472 64209,,
ALDI – Association for Learning Disabilities,"Nallenkara, Nettissery",Trichur,aldiktm@gmail.com,NOT AVAILABLE,91-944703 36817,91-487-2336817,Child development.
AKOWA,Idukki,Idukki,akowa.mission2005@gmail.com,NOT AVAILABLE,,91-4868-270486,Social welfare.
ALIVE,"1, Sreelakshmi Cottages, Thalassery",Kannur,ak.bhanu@gmail.com,NOT AVAILABLE,91-94477 79389,,A just society where all people are enjoying their rights to lead a dignified life.
All India Nruthya Sangeetha & Natakeeya Kalayalam for Handicapped,"C/o Kollam Nataka Vedi, Anandhavalliswaram",Kollam,,NOT AVAILABLE,,"91-474-793590, 91-474-795041","Disability, Disadvantaged communities, Health"
All Kerala Association of the Deaf,"16, Bus Stand Complex, Kaloor",Kochi,info@keraladeaf.org,NOT AVAILABLE,,91-484-2683467,Welfare of the hearing impaired.
All Kerala Blood Donors Society,"Umasudham, Kalakaumudi Press Road",Thiruvananthapuram,kebs.gensec@gmail.com,NOT AVAILABLE,91-94475 86954,,Blood donor motivation
Anna Heritage Society,"Chalakudy, Trichur",Trichur,babujohn500@gmail.com,NOT AVAILABLE,91-93498 55471,91-480-3294602,Protection and preservation of heritages.
Alzheimer’s & Related Disorders Society of India,"P.O. 53, Kunnamkulam",Kunnamkulam,alzheimr@md2.vsnl.net.in,NOT AVAILABLE,,91-488-523801,Health
Anweshi Women’s Counselling Centre,"State Bank Officers Colony, Chevarambalam",Kozhi Kode,anweshi@eth.net,NOT AVAILABLE,,91-495-2359370,
Ardhratha Fellowship,"Archana, Pazhaya Seminary Road, Chungom",Kottayam,afcharity@gmail.com,NOT AVAILABLE,91-94475 98549,91-481-2566001,"Education, health, women empowerment, child development, old age care etc."
Arafa Charitable Trust,"Pezhakkappilly, Ernakulam",Ernakulam,arafapublicschool@yahoo.com,NOT AVAILABLE,,91-485-2813705,Education
Ashraya – Link to Life,Kollam,Kollam,princeiccc@gmail.com,NOT AVAILABLE,91-94461 40698,91-474-2763739,"Education, mental health, prevention programmes, character solutions."
Asian Trust for Social Development,"Souparnika, P & T Qrtrs Road",Kottayam,gsathyan23@gmail.com,NOT AVAILABLE,,91-481-2570257,Social development
ASACS – Abdurahman Sahib Charitable Society,Malappuram,Malappuram,mhdkattuppara_m@yahoo.co.in,NOT AVAILABLE,,91-493-3268086,
Association for Welfare of the Handicapped,"Post Box No 59, M Square Complex",Calicut,,NOT AVAILABLE,awhclt@sancharnet.in,"91-495-2720434, 91-495-2720028","Child welfare, Health, Rehabilitation, Women’s issues."
Arpan,"Arpan, Derpakadu",Thiruvananthapuram,,NOT AVAILABLE,,91-471-2290080,"Disability, Health, Rehabilitation, Training"
Atma Foundation,"Atma Foundation, Surya Gardens, Paliyam Road",Trichur,atmatrust@gmail.com,NOT AVAILABLE,94009 95232,0487-2325232,"Adolescent Girls Welfare, Advocacy On Social Issues, Anti Drug Campaign, Art And Culture, Awareness Generation, Child Welfare, Community Development, Corporate Social Responsibility, Cultural Heritage., Cultural Issues, Development (General), Education, Health, Human Development, Medical Relief, Ngo Management, Orphanage, Research, Social Awareness, Volunteers, Women Development Welfare, Women’S Issues, Yoga, Youth Individual Empowerment, Volunteer Development, Relationship Empowerment, Pre Marital & Post Marital Guidance, Counselling."
Avisenna Educational & Cultural Association,"South Vazhakulam, Ernakulam",Ernakulam,ameer1814@gmail.com,NOT AVAILABLE,,91-484-2677004,Education.
ATMATA Kendram,"Pastoral Centre, Kottayam",Kottayam,info@atmata.org,NOT AVAILABLE,,91-481-2411819,HIV/AIDS and drug abuse prevention.
Bala Vikas Institute for the Mentally Handicapped,"Gandhi Marg, Opp. Hindustan Latex",Thiruvananthapuram,,NOT AVAILABLE,,91-471-2433646,"Child welfare, Disability, Rehabilitation"
Azad Education & Charitable Society,"Near PV Smaraka, Mandiram",Kannur,softlinecomputer@gmail.com,NOT AVAILABLE,,91-490-2356396,IT Training
Bethel Foundation-Greets Academy,"Ashok Road, Kaloor",Cochin,greets@md2.vsnl.net.in,NOT AVAILABLE,,"91-484-2531214, 91-484-2530201","Aged, Child welfare, Education, Health, Training"
AVS,Idukki,Idukki,,NOT AVAILABLE,,91-486-2362213,"Disadvantaged communities, Environment, Human Rights"
Better World Foundation,"Samruddha Thirtham, Moozhikulam Sala, Kurumassery",Ernakulam,tbwfoundation@gmail.com,NOT AVAILABLE,93884 34123,,"Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Ayurveda, Child Labour, Child Rights, Child Welfare, Community Development, Consumer Issues, Corporate Social Responsibility, Cultural Heritage."
BGM Social Service Centre,"P.B.2, Neyyardam",Thiruvananthapuram,bgmsocialservice@yahoo.com,NOT AVAILABLE,,91-471-2273267,Development
Bgm Social Service Centre,"Marakkunnam, Neyyardam",Trivandrum,bgmcharity@gmail.com,NOT AVAILABLE,97461 22137,0471-2273267,"Adolescent Girls Welfare, Awareness Generation, Community Development, Development (General), Employment, Environment, Micro-Enterprises."
Bharath Social Service Centre,"Paraniyam, Poovar",Trivandrum,bsscitiparaniyam@gmail.com,NOT AVAILABLE,94003 73978,0471-2260259,Governance Trainig Programmes For The Youth And Women.
Bluemoon Charitable Trust,"Branchoffice Door No. VI/513, 4th Lane Kalpaka Garden Kolazhy",Thrissur,babu.josephvenduruthy@gmail.com,NOT AVAILABLE,91-98952 93963,91-4872-208791,
Bharatheeya Vichara Kendram Research Centre,"Samskriti Bhavan, Thiruvananthapuram",Thiruvananthapuram,vichara@rediffmail.com,NOT AVAILABLE,,91-471-2572575,Financial assisstance for various studies.
Bhoodan Vikas Mandal,"Uppada, Malappuram",Malappuram,bvmnilambur@gmail.com,NOT AVAILABLE,,91-4931-241779,Village development
Catalyst,"Nadapuram, Kozhikode",Kozhikode,catalyst4ndm@gmail.com,NOT AVAILABLE,91-94476 34319,"91-496-2560170, 91-485-2825602, 91-485-2822715",Empower India through social work and awareness programme.
Bhoumik,Thuruvikal,Trivandrum,jojojjose@gmail.com,NOT AVAILABLE,94474 15581,,"Agriculture, Climate Change, Energy, Environment, Forest Management, Forestry, Industry, Information And Communications Technology, Natural Resource Management, Social Awareness, Sustainable Development, Urban Development, Waste Management, Wildlife."
Centre for Development Action,"Vikas Institute, Kanakary",Kanakary,,NOT AVAILABLE,,91-481-2537917,"Health, Rural Development"
Centre for Research & Development Council,"Old G.P.O JN, Trivandrum",Trivandrum,crdctvm@gmail.com,NOT AVAILABLE,91-99614 01444,,"Trainng, research, consultations"
Braille Without Borders Charitable Trust,"Vivekananda Nagar, Ookode, Nemom, Kanthari",Trivandrum,ajith@kanthari.org,NOT AVAILABLE,81298 20819,0471-2392977,Social Work.
Centre for Social Work Research & Practice,"Chungakkunu, Kottiyoor",Kannur,cswrpindia@gmail.com,NOT AVAILABLE,,91-490-2416170,
CARD – Christian Agency for Rural Development,"Marthoma Sabha Office, Thiruvalla",Thiruvalla,card.admin@marthoma.in,NOT AVAILABLE,94477 60931,0469-2600931,Social Work.
Centre for Public Policy Research,"39/717, Rahul Vihar, Karakattu Road",Cochin,cppr@cppr.in,NOT AVAILABLE,,91-484-6469177,
Ch. Charitable Society,"Kodumudi, Valiyakunnu",Valiyakunnu,zulfiker_tp@yahoo.com,NOT AVAILABLE,91-98464 20535,91-494-2620535,
CIGI – Centre for Information & Guidance India,"Golf Link Road, Chevayur",Chevayur,hq@cigi.org,NOT AVAILABLE,,"91-495-2356059, 91-295-2351366",Free guidance & counselling on higher education and career empowerment.
CIRA – Centre for Information Research & Action,"Manaliparambil, Eloor North",Ernakulam,cira.kerala@gmail.com,NOT AVAILABLE,,91-484-6413070,
Centre for Environment & Development,"Thozhuvancode, Vattiyoorkavu",Thiruvananthapuram,ceddir@vsnl.com,NOT AVAILABLE,,91-471-2369720,"Research and development, consultancy and training"
Community Project Centre,"Vellanad, Trivandrum",Trivandrum,,NOT AVAILABLE,,,"Education, Employment, Health, Poverty"
Brahmasree Subhananda Darmadwaraka Ashramom Trust (BSDA TRUST),"Vazhapalli, Neduvanvila, Parassala",Thiruvananthapuram,bsdatrust@gmail.com,NOT AVAILABLE,94471 26801,0471-2129801,"Education, Food And Nutrition, General – Social Welfare, Health, Medical Relief, Poverty, Self Help Groups."
Community Development Forum,"Mukkattukara, Nettissery",Thrissur,cdfthrissur@gmail.com,NOT AVAILABLE,91-94472 28686,91-487-2373809,Youth development.
Council of People Living with HIV/AIDS of Kerala,"First Floor, Manjooran’s Building, Opp. St. Antony’s Church, Bank Road, Kochi, Ernakulam,",Kaloor,cpkplus@gmail.com,NOT AVAILABLE,,91-484-4025398,
Community Welfare Centre,"Prem Deep Building, Kulavara Lane",Thiruvananthapuram,,NOT AVAILABLE,,91-471-2458368,"Poverty, Rural Development"
COSMOS,Kollam,Kollam,rajesh_cosmos@yahoo.com,NOT AVAILABLE,91-94971 34505,,"Improve sanitation, health, drinking water facilities in urban areas & improve socio economic status."
