Aadinath Society of Central Education,"H-900, Housing Board Colony",Morena,ankur.mca18@hotmail.com,91-753-2234034,,NOT AVAILABLE,Computer education for every one.
Aakrasth Jan Kalyan Samiti,"Block 17/628, Saraswati Nagar",Bhopal,aakrasth@gmail.com,,91-99777 45554,NOT AVAILABLE,"Training programmes, editing, rural development."
AAJ,"51, Dani Gate Ujjain",Ujjain,r.pankajpanchal@gmail.com,NOT AVAILABLE,94245 15148,07344-012439,"Anti Drug Campaign, Art and Craft, Art and Culture, Ayurveda, Blindness, Child Labour, Fair Trade, Gender, Grants/Aids, Health, Herbal Medicine, Hiv/Aids, Human Rights, Media, Medical Relief, Old Aged Welfare, Right To Information, Women Development/Welfare, Women’S Issues."
Aaj Ki Udaan Ngo,"Batkakahpa, Harrai",Chhindwara,rammobile72@gmail.com,NOT AVAILABLE,94258 17214,07169-265169,"Education, Environment, Food And Nutrition, Human Rights Human Develment Education Envirment."
Aahwan Samagra Satat Avam Samajik Vikas Samiti,"87, Sant Nagar, Indore Road",Ujjain,aahwanngo@yahoo.com,91-734-2515930,91-98272 88411,NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Aacharya Varahamihir Jyotish-Vastu-Paravidya Shodh Sansthan,"MIG-A 15/2, Mahananda Nagar",Ujjain,raghavkirti@gmail.com,91-734-2517789,,NOT AVAILABLE,Public Welfare.
Aakansha Swam Sewi Sansatha,"93, Pragya, Mayur Nagar, Thatipur, Morar",Gwalior,aakansha.din@gmail.com,91-751-2480672,91-94251 65793,NOT AVAILABLE,"Health, RCH, rural development women & child development etc."
Aahuti Social Welfare Society,"46, Azad Ward, Betul Bazar, Betul",Betul,aahuti11@yahoo.in,NOT AVAILABLE,88717 18537,,"Adolescent Girls Welfare, Advocacy On Social Issues, Agriculture, Animal Health, Animal Welfare, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Ayurveda, Blindness, Cancer Patients Help, Child Labour, Child Rights, Herbal Medicine, Hiv/Aids, Human Development, Human Rights, Indigenous Knowledge, Labour, Law, Legal Awareness, Library To Awrae The People What Is Happening In Society And How To Be Formall In The Society."
AASHA,"New Court Colony, Jatara",Jatara,satyarajgoyal@hotmail.com,,91-99265 75710,NOT AVAILABLE,"Health, Education."
AARAMBH,"Pipiliyana, Indore",Indore,babul.jaiswal@rediffmail.com,,,NOT AVAILABLE,Development of street children.
AAS,"I/43, L.I.G. Colony",Indore,info@aasindia.net,,91-98273 00186,NOT AVAILABLE,Awareness of Society
Aashayen Foundation Enlighten Dream Together,"3, Block-C, Mprkav Colony",Gwalior,s.patsariya@gmail.com,NOT AVAILABLE,95841 55636,,Social Work.
Aasra Samajik Sansthan,"192/3, Juna Risala",Indore,aasrasamajiksansthan@gmail.com,91-731-2451213,91-94259 05884,NOT AVAILABLE,
AASTHA,"109, Silver Sanchora, R.N.T. Marg",Indore,amitvitm@gmail.com,91-731-4278898,91-99774 04051,NOT AVAILABLE,Health & education.
Aaskiran Society for Education & Social Development,"E-59, Minal Residence, J.K. Road",Bhopal,aaskiransocietybhopal@gmail.com,91-754-3220520,91-94257 60500,NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Aastha Welfare Society,"222, Indraprasth Complex, Station Road",Khandwa,aasthaknw@rediffmail.com,91-733-2226424,91-94259 27859,NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development, rural development, disability."
Abeni Rural & Urban Development Society,"144/17 MLA Road, Shiv Colony Dabra",Gwalior,dqusingh89@gmail.com,91-7524-222521,91-97137 94174,NOT AVAILABLE,Rural development.
AAYAM,"28-A, Chattrapati Shivaji Society, Chunabhatti, Kolar Road",Bhopal,neerajvedi@gmail.com,,91-96850 04822,NOT AVAILABLE,Education and social welfare.
Abhinav Kala Avm Shaikshnik Sanstha Timarni,"Khangar, Ward No 15, Timarni",Harda,sonkiyajitendra@gmail.com,NOT AVAILABLE,74158 07679,,"Advocacy On Social Issues, Art And Culture, Awareness Generation, Group Promotion, Health, Hiv/Aids, Human Development, Indigenous Knowledge, Local Self Governance (Panchayati Raj), Micro-Enterprises, Right To Information."
Abhay Nari Kalyan Samiti,"102, Kunjan Nagar, Phase 1",Bhopal,abhaynari@gmail.com,,91-98262 25265,NOT AVAILABLE,
Aayushyamaan Bhav,"21, Adarsh Vikram Nagar",Ujjain,arunrishi1@rediffmail.com,91-734-2515247,,NOT AVAILABLE,Health management without medisin.
Abhinav Information & Welfare Society,"L-5, 6 Ashirwad Complex Zone",Bhopal,abhinav_information@yahoo.com,,91-98260 76121,NOT AVAILABLE,Social & cultural activity.
Abhivyakti State Resource Centre,"Abhivyakti State Resouce Centre, E-4/12",Bhopal,bplsrc@yahoo.com,91-755-566611,,NOT AVAILABLE,"Education, Media, Women’s issues"
Abhinav Prayas,"I 7, Sant Asharam Nagar, Behind Raja Bhoj Arcade, Baghsewania",Bhopal,abhinavprayas.in@gmail.com,"91-755-3245077, 91-755-3244457","91-93010 75444, 91-93010 75445",NOT AVAILABLE,Rural development.
Abhivyakti Kala Vikas Samiti,"Office Mahila Gopad Club, Beside Arjunsingh Community Hall Hospital Square",Sidhi,abhivyakti_sidhi@rediffmail.com,,"91-98263 76046, 91-93007 81947",NOT AVAILABLE,
Action Against Poverty,"Abbas Ali Building, Anda Bazar",Burhanpur,aap.ahmad@gmail.com,91-7325-400789,,NOT AVAILABLE,"Education, Social work."
Action Active Creative Tough & Intelegent Organization for the Nation,"Renu Dhadi, Behind S.P. Office",Sehore,poonam@visionbharat.in,,,NOT AVAILABLE,Social duty
Abhinaytosh Mahila Bal Vikas Samiti,"FPAI, Seva Hospital, Padmakar Nagar, Makronia",Sagar,ambvssag@yahoo.co.in,91-7582-221439,91-99933 72642,NOT AVAILABLE,
Acharya Chankya Shiksha Samiti,"10, Kazi Marg, Ward 10, Seoni Malwa",Hoshangabad,dubey_subu@yahoo.in,91-7570-220120,91-98266 30818,NOT AVAILABLE,Education and bio agriculture.
Action Aid,"E-7/88, Lajpat Society",Bhopal,robho@actionaidindia.org,"91-755-425324, 91-755-466920",,NOT AVAILABLE,"Development(General), Disability, Education, Health, Poverty."
Action for Food Production Field Unit-V,"314, Jiwaji Nagar, Thatipur",Gwalior,"afu05@afpro.org, afpro@sancharnet.in","91-751-2340692, 91-751-2340646",,NOT AVAILABLE,"AFPRO is a non-profit, non-government organisation that co-ordination."
Action For The Development Of Community (ADOC),"Sharma Iron Stores, Shivaji Ward",Narsinghpur,palashsharma230728@gmail.com,NOT AVAILABLE,89621 48119,07792-230728,Social Work.
