Aadhar Pratishthan Trust,"48/A, Sainagari Society, Opp. Ganga Hospital, Chandan Nagar",Pune,aadharpratishthanpune@gmail.com,91-20-65104143,91-98601 33100,NOT AVAILABLE,"Welfare of human society, children, civic issues, differently abled, disaster management."
Aadhar Bahuudeshiy Sebhavi Pratishthan,"Snehanand Nivas, Vikas Nagr, Old Kautha",Nanded,aadharpratishthan06@gmail.com,NOT AVAILABLE,86259 82352,,Social Work
Aadeeyoga Foundation,"427/429, SVP Road, Prarthana Samaj, Charni Road",Mumbai,raksha131@gmail.com,91-22-66340536,91-93222 95161,NOT AVAILABLE,Teach Yoga
Aabakada Cultural Group,"36 B, Mahaveer Nagar",Sangli,shafi_naikwadi@rediffmail.com,91-233-2622626,,NOT AVAILABLE,Cultural
A & O Multipurpose Society,"129, Gulmohar Garace, lullanagar",Pune,artnoccasion@gmail.com,91-20-26833443,,NOT AVAILABLE,"Education, health, child development, women empowerment, agriculture, animal care."
Aadhar Charitable Trust,Mumbai,Mumbai,aadhat.trust@yahoo.com,,91-98204 81442,NOT AVAILABLE,
Aadhar Projects & Welfare Society,"Malgaon, Near Kalmbi Road, Miraj",Sangli,aadharngo@gmail.com,91-233-2265926,"91-94238 15016, 91-94212 26630, 91-97304 82994",NOT AVAILABLE,"Women empowerment, health, agriculture, education."
Aadhar Bahuuddeshiya Sanstha,"New Plot, Near Kacheri, Station Road",Amalner,Adharsanstha@rediffmail.com,91-2587-223643,91-93251 10647,NOT AVAILABLE,Women empowerment.
Aadhar,"Sradha Communcation, Pethe Nagar Road Bhavsing Pura",Aurangabad,sajwa@rediffmail.com,91-240-2372936,,NOT AVAILABLE,
Aaghaz Educational & Multipurpose Society,"12, Naik Nagar, Nr. Manewada Ring Rd",Nagpur,aaghazngo@gmail.com,,91-93706 93084,NOT AVAILABLE,"Education for slum childrens, women empowerment, health awareness."
AAI Caretaker,"B-4, Ashok Nagar, Vasinaka, Chembur",Mumbai,aaicaretaker@email.com,91-22-25530537,"91-98216 24480, 91-98216 24480",NOT AVAILABLE,"To protect and promote environment, health & education."
Aai Saheb Jijau Bahu Uddeshiy Sanstha,"Ranzani, Pratappur, Taloda",Ranzani,anandmarathe71@gmail.com,NOT AVAILABLE,96890 97221,,"Adolescent Girls Welfare, Advocacy On Social Issues, Cow Protection Centre (Goushala), Old Aged Welfare."
Aanandi Public Development Society,"45, Police Vasahat, Vivekanand Chowk, Nanded Road",Latur,dhadevai@rediffmail.com,NOT AVAILABLE,94043 67533,,"Agriculture, Community Development, Self Help Groups, Water Water Management."
AAI Maltipurpose Foundation,"Ankush Wakde, Madhaw Nager",Yavatmal,Aai_foundation42@rediffmail.com,,91-99214 44412,NOT AVAILABLE,
Aalochana-Centre for Documentation and Research on Women,NOT AVAILABLE,Pune,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
AAS – Aapulaki Sangh,"4, Gandhi Nagar, Kajupada",Mumbai,aapulaki_sangh@yahoo.com,,91-99206 89126,NOT AVAILABLE,Social services and welfare
Aashi,"Gurudutta Colony, Vinayak Nagar, 3-A, Pimple Gurav",Pune,aashi_avopc@yahoo.in,NOT AVAILABLE,95943 79938,,"Adolescent Girls Welfare, Advocacy On Social Issues, Awareness Generation, Child Labour, Child Rights, Child Welfare, Community Development, Gender, Human Development, Human Rights, Old Aged Welfare, Orphanage, Women Development/Welfare, Women’S Issues, Youth."
Aashraya,"Shikshak Colony, Shirur",Pune,shirajpathan@gmail.com,NOT AVAILABLE,95272 16843,,Social Work.
Aashrya Charitable Foundation,"12, Laxmi Niwas, Ganesh Nagar",Dondaicha,ketansonanis@gmail.com,,91-99789 18453,NOT AVAILABLE,"Education, health & self employment of tribal area people."
Aastha Pratisthan,"204, Astavinayaka Co-Operative Housing Society, Rock line, MMRDA Colony, Vashi Naka, Chembur",Mumbai,aasthapratisthan@yahoo.com,,"91-99670 23902, 91-98926 32244",NOT AVAILABLE,"Health, human rights, poverty, womens issues, child walfare, disability, education, environmental, social."
Aastha Foundation,"5, 1st Floor, 21-23, Mumbadevi Mansion",Mumbai,ams_mmt@yahoo.com,,91-99691 55499,NOT AVAILABLE,"Education, health, human rights."
Aastha Seva Sanstha,"Trisul Apt, Near New Post Office, Kalyan",Thane,ngo.aastha2010@gmail.com,NOT AVAILABLE,"89763 40656, 84250 55073",,"Employment, Governance, Herbal Medicine, Human Rights, Mentally Handicapped Persons, Orphanage, Peace, Training."
Aavhaan Pratishthan,"AL-5/3/12, Suyog Apt, Sector 5, Airoli",Mumbai,jai.kate@rediffmail.com,,91-98926 33626,NOT AVAILABLE,To challenge/discover hidden social skills from yound minds and transform to better society.
Aatma Prabha Foundation,"Shanti Nagar, Tapi Road, Bhusawal",Jalgaon,balpan.bsl@gmail.com,NOT AVAILABLE,70202 43472,,"Distance Learning, E-Learning, Education, Human Development, Yoga, Youth."
Abhijeet Mitra Mandal,"Nutan Chs 372 Room 9, Sector 3 Charkop Kandivili (W)",Mumbai,abhikamble09@gmail.com,,"91-90298 99088 , 91-97736 17648",NOT AVAILABLE,
Abhang Shikshan,"Jaulka, Malegaon",Krida And Bahuuddeshiya Society,abhangsociety06@gmail.com,NOT AVAILABLE,88620 00712,,"Agriculture, Awareness Generation, Child Welfare, Community Development, Consumer Issues, Corporate Social Responsibility, Cultural Heritage., Development (General), Disaster Management, E-Governance, E-Learning, Employment, Energy, Environment, Governance, Library, Plantation, Rural Development, Sanitation, Science And Technology, Social Awareness, Right To Information, Tribal Development, Volunteers, Waste Management, Water, Women Development/Welfare, Youth."
Abhilasha Foundation,"Divya Vaishnavi Chs, 22, 1, Rsc 1 & 2, Opp. Reliance Energy, Borivali, Gorai-3",Mumbai,project@abhilasha-foundation.org,NOT AVAILABLE,98678 27286,,"Awareness generation, child labour, child rights, child welfare, climate change, consumer issues, development (general), education, food and nutrition, health, hiv aids, livelihood, orphanage, peace, rehabilitation, self help groups, social awareness, trafficking of women, training, tribal development, women development welfare, women’s issues, yoga, youth."
Abhinav Bharat Bahuuddeshiya Sevabhavi Sansthan,"Sonhira Venkateshwara Nagar, Near Ambika Mangal Karyalaya, Ring Road",Nanded,aaakashpatil@gmail.com,91-246-2263605,"91-98905 13719, 91-98226 22576 , 91-94040 67113",NOT AVAILABLE,"Women empower, child right, self employment."
Abhinav Bharat Institute for Rural Development,"C/o Shachee Juvekar, Pune",Pune,abirdindia@gmail.com,91-20-27170503,,NOT AVAILABLE,Health and Rrual Development
Abhinav Education Society,"13, Ambegaon, Katraj Dehuraod Bypass",Pune,abhinav.pgdm09@gmail.com,91-20-24373727,,NOT AVAILABLE,"Education, health of rural India."
