Agape International,"Tummuyon Khulen, Senapati",Senapati,agape_career@yahoo.com,NOT AVAILABLE,"91-90195 69432, 91-96157 45765",,Integral community development for preserving peace and sustaining livelihood.
CAPARV – Council for Anti Poverty Action & Rural Vol,"URUP Litan, Makhong",Makhong,caparv@yahoo.com,NOT AVAILABLE,,91-385-2441388,"Poverty, Rural Development, Sustainable Development"
Agricultural & Horticultural Development Agency,"Elangbam Leikai, Keisamthong",Imphal,,NOT AVAILABLE,,"91-385-246170, 91-385-220442",Agriculture
ACCRDS – Apex Cluster Community Resource Development Society,"Hillbird Building, 1st Floor, Senapati Bazar",Senapati,msj_accords@yahoo.com,NOT AVAILABLE,91-94360 29557,"91-3871-222562, 91-3871-222564",
Action Centre for Community underpriviledged Empowerment and Transformation,"Old Lambulane, Imphal West",Imphal,avaiphei@gmail.com,NOT AVAILABLE,91-96122 93979,91-385-2445505,Education
Alliance for Development Alternatives,"Budhiraj Road, Kakching Bazar",Thoubal,surjit_adam@yahoo.co.in,NOT AVAILABLE,,91-3848-261285,"Support for environment, handloom and handicrafts, sustainable development."
AWARE – Action for Welfare & Awakening in Rural Environment,"Dimdaijang, Thangmeiband",Imphal,,NOT AVAILABLE,,91-385-411356,Environment
Advanced Society for Higher Aspirants (ASHA),"Balaramkhul Mamang Leikai, Nambol",Bishnupur,gateway_nambol@rediffmail.com,NOT AVAILABLE,98564 74839,0385-2453350,"E-Learning, Education, Employment, General – Social Welfare, Human Development, Micro-Enterprises, Minorities, Plantation, Rural Development, Social Awareness, Right To Information, Youth."
CDAC – Centre for Development Activities,"Near Indo-Myanmar Road, Wangjing",Wangjing,cdacmanipur@yahoo.co.in,NOT AVAILABLE,91-98627 07148,91-3848-222017,"Trafficking, health, women empowerment, child development, rural development, disability, old age care."
Centre for Community Initiative,"Zion Street, Tedim Road",Churachandpur,pauzagin_tonsing@zogam.com,NOT AVAILABLE,91-96121 53082,,Rural development
CDPC – Community Development Programme Centre,"M.I. Road, Thoubal Achouba",Thoubal,cdpcthoubal@yahoo.co.in,NOT AVAILABLE,,91-3848-223494,For the upliftment of rural distress and marginalize sectors in manipur.
Centre for Innovative & Integrated Rural Development,"Opp. Governor Park cum Computer Centre, Makhrelui",Senapati,cirud_06@yahoo.co.in,NOT AVAILABLE,91-98623 46646,91-3871 222347,To diversify and strengthen its organizational competency to develop and implement strategies.
Centre for Rural Development,"Nepra Company, Thoubal",Thoubal,borish123_saem@yahoo.com,NOT AVAILABLE,,91-3848-223686,"Socio-economic, rural development services."
Centre for Resource Development,"BPO Khongjom, Khongjom Bazar",Thoubal,crdkjm@rediffmail.com,NOT AVAILABLE,,91-3848-222209,Training facilities for organisation staffs in micro-credit and thriftiness in rural areas.
Centre for Sustainable Livelihood,"Terakhong, Moirang, Kumbi",Bishnupur,cslivelihood@gmail.com,NOT AVAILABLE,91-98563 75235,91-3879-22358,Sustainable livelihood and microfinance to poor. Health and agriculture dev.
Centre for Backward & Environment Development,"Wangkhei Laishram Leikai, Imphal",Imphal,inform.cbed@gmail.com,NOT AVAILABLE,91-99902 60922,,
