Aarav Infotech & Charitable Trust,"Badriraj Nagar, 1st Line, Berahmpur, Ganjam",Ganjam,madanjena3012@outlook.com,NOT AVAILABLE,97179 21168,,"Agriculture, Animal Health, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Community Development, Consumer Issues, Development (General), Disaster Management, E-Learning, Economics And Finance, Education, Employment, Energy, Environment, Fair Trade, Food And Nutrition, Forest Management, Forestry, Gender, General – Social Welfare, Human Development, Human Rights, Information And Communications Technology, Infrastructure, Local Administration, Local Self Governance (Panchayati Raj), Ngo Management, Old Aged Welfare, Plantation, Pollution, Poverty, Public Administration, Rehabilitation, Research, Rural Development, Society And Economy, Right To Information, Water, Wildlife, Women’S Issues."
A.E.R.W.D,"25, Budheswari Colony, Bhubaneswar",Khurda,alok_sutar@india.com,,"91-94373 25024, 91-98615 75549, 91-97763 51581",NOT AVAILABLE,Dream for a green world.
Aanchalic Jana Kalyan Parishad,"Belpahar, Jharsuguda",Jharsuguda,ajkpbph@gmail.com,,91-94383 35022,NOT AVAILABLE,Join hands with like minded organisations and work with them with financial support. To raise funds.
Abhilash Organisation,"L.I.G.11/21, Phase-I, B.D.A. Colony",Bhubaneswar,lulu_medhifi@rediffmail.com,,91-93380 57666,NOT AVAILABLE,"Self employment, women awareness."
ABHIYAAN,"9, Block A, Rajendra Vihar Apartments, Forest Park",Bhubaneswar,abhiyaan.ori@gmail.com,91-674-2545912,91-94370 82222,NOT AVAILABLE,"Education, women & child empowerment."
ABCD – Agency for Backward Community Development,"Moonland, Bhubanpur",Puri,"abcd.orissa@gmail.com, abcdngo@indiatimes.com",91-675-2213121,,NOT AVAILABLE,Fund raising
AASHA,"Purunabasanta, Nalibar",Jagatsinghpur,aasha_ngo@yahoo.co.in,91-6724-231184,91-90361 39289,NOT AVAILABLE,"Women empowerment, health & sanitation, environment."
ABHIYAN,"Purusottampur, Nalipur, Bali Chandrapur",Cuttack,akm67p4u@gmail.com,91-671-2768784,91-99378 53486,NOT AVAILABLE,
Academy of Bioresource Development,"BS-3, Acharya Vihar Market Complex, Khurda",Bhubaneswar,sidharthabioresource@gmail.com,91-674-6538664,,NOT AVAILABLE,Social development
ADARSA – Association for Development & Research in Socio Economic Activity,"Jagda, M.E School Lane, C/198",Rourkela,adarsa_sng@rediffmail.com,,91-94371 45172,NOT AVAILABLE,"Fund rising, funding agency, NGO resource."
Action for Better Living & Environment,"Jangyachhak, Angulai",Kendrapada,ctk_able@sancharnet.in,91-6727-8296,,NOT AVAILABLE,"Agriculture, Child Labour, Child welfare, Disadvantaged communities, Environment, Labour."
Aboundant Peace for all,"Nakti Guda, Bhawanipatna",Kalahandi,,91-6670-234481,,NOT AVAILABLE,Integrated rural development.
Abhya Seva Sangh,Bhubaneswar,Bhubaneswar,bijan_jena@rediffmail.com,91-674-2360387,,NOT AVAILABLE,
Adarsh Charitable Trust,"Khallikote, Ganjam",Ganjam,act.khallikote@gmail.com,91-6810-256648,,NOT AVAILABLE,"Community development, childrens, commnity health management, micro finance, education, poverty."
Action for Social & Human Acme,"Post Gunupur,",Gunupur,,91-6857-20276,,NOT AVAILABLE,"Disadvantaged communities, Environment, Women’s issues"
ADHIKAR,"Khandagiri Vihar, 113, Khandagiri",Khurda,adhikar@adhikarindia.org,91-674-238432,,NOT AVAILABLE,Women development
ADHAR,"Balangir, Loisingha",Loisingha,,91-6653-74125,,NOT AVAILABLE,"Environment, Rural Development"
Adarsho Gram Vikas Mahila Samiti,"Podalguda, Majhiguda",Nabarangpur,agvms.sh@gmail.com,91-6858-2223071,91-94378 17642,NOT AVAILABLE,
ADORE – Agency for Development of Opressed through Releaf & Education,"ADORE Hostel for girls, Jimidipeta",Rayagada,adoremission@gmail.com,"91-6856-2747935, 91-479-2300750",91-94470 36816,NOT AVAILABLE,Educating the tribal and dalit children of remot villages of Orissa.
Adivasi Development Society,"Gumma, Gajapati",Gajapati,adsOrissa@gmail.com,91-6815-282671,,NOT AVAILABLE,"For network allaince building, invitation to participate in diffrent trainings, meetings, workshops."
ADSS – Arakhita Das Smruti Sanstha,Bhubaneswer,Bhubaneswer,adss.bbsr@gmail.com,,91-94374 38915,NOT AVAILABLE,
Agency For Backward Community Development(ABCD),"Jagannathlane, Duttatota",Puri,abcd.orissa@gmail.com,NOT AVAILABLE,94372 32272,06752-221077,"Microfinance, Disaster Management."
Agape Seva Samiti,"Nuasahi, Kapaleswar",Cuttack,sashikant2@rediffmail.com,,91-94320 99383,NOT AVAILABLE,Social work
AGNISIKHA,"GGG-6, Civil Township, Rourkela",Sundergarh,agnisikha_04@rediffmail.com,,91-94372 44865,NOT AVAILABLE,Social service.
AGRANEE,Mayurbhanj,Mayurbhanj,agranee@yahoo.co.in,91-6796-220357,,NOT AVAILABLE,Socio-economic development of dalits.
Agnee Balay Creative Club,"Ghanashyamapur Shasan, Jajpur",Jajpur,purnadash09@gmail.com,,91-99370 89221,NOT AVAILABLE,To provide programe on theatre.
AGVMS – Adarsho Gram Vikas Mahila Samiti,"Podalguda, Majhiguda",Nabarangpur,agvms.sh@gmail.com,91-6858-223071,91-94378 17642,NOT AVAILABLE,"Education, health, women empowerment, child development, rural development."
Agricultural & Rural Development Consultancy Society,"N 6/322, Jayadev Vihar",Bhubaneswar,,"91-674-553061, 91-674-552468",,NOT AVAILABLE,"Agriculture, Rural Development"
AHWAN,"Padarpada, Boudh",Boudh,ahwanboudh@yahoo.co.in,91-6654-220967,,NOT AVAILABLE,To share views on rural development.
