AASHRAY,"62, Vasant Avenue",Jalandhar,kaysanjiv@yahoo.com,NOT AVAILABLE,91-98140 64303,,Child and bird welfare.
Amrit Sanchar Ruhani Satsang,"17, 3, Indira Colony, Mustafabad, Batala Road",Amritsar,amritsancharruhanisatsang@gmail.com,NOT AVAILABLE,99882 43494,,"Awareness Generation, Corporate Social Responsibility, Group Promotion, Human Development, Livelihood."
Aatamdarshan Educational Society,"5235, Malvia Nagar, St. 1",Bhatinda,jotshipk@gmail.com,NOT AVAILABLE,,,Service to the aged & in need
All India Jeev Raksha Bishnoi Sabha,St.No.13,Abohar,,NOT AVAILABLE,,91-1634-55421,"Environment, Forestry"
Almighty International Society,"Outside Manna Phatak, Malerkotla",Sangrur,helo2k11@rediffmail.com,NOT AVAILABLE,94177 73661,01675-649661,Social Work
All India Pingalwara Charitable Society,Tehsilpura,Amritsar,pingal@jla.vsnl.net.in,NOT AVAILABLE,,91-183-234586,Development(General)
All India Women’s Conference,"3, Daya Nand Nagar, Lawrence Road",Amritsar,,NOT AVAILABLE,,91-183-555565,"Aged, Child welfare, Law"
Amrit Women Walfare Society,"Raipur, Satnampura Block, Jalandhar",Jalandhar,awwsraipur@gmail.com,NOT AVAILABLE,"94654 66292, 79866 19705",,"Art and Craft, Art and Culture, Child Labour, Child Rights, Child Welfare, Community Development, Cultural Heritage. , Cultural Issues, Development (General), E-Learning, Education, Employment, Fair Trade, General – Social Welfare, Group Promotion, Human Rights, Information and Communications Technology, Rural Development, Self Help Groups, Social Awareness, Society and Economy, Traditional Activist (Guni) Mobilisation, Trade and Industry Welfare, Tribal Development, Tribal Issues, Urban Development, Volunteers, Women Development/Welfare, Women’S Issues, Youth."
Aprajita Charitable Trust,"Bhater, Mukerian",Hoshiarpur,aicsbhater@gmail.com,NOT AVAILABLE,,91-188-3235061,To spread education in rural/kandi area of Punjab.
ASRA – Associaion for Social and Rural Advancement,Dher,Rupnagar,asranangal@rediffmail.com,NOT AVAILABLE,91-94632 88821,,
Ariels the Christ Followers,"2234/C/54/B-11, Near Play Ground",Ludhiana,arielsthefollowers@ibibo.com,NOT AVAILABLE,91-98780 76205,,
Association of the Deaf,"2860, Jain Street, Raekot",Ludhiana,padamkpassi@yahoo.com,NOT AVAILABLE,NOT AVAILABLE,91-1624-264619,
Arpan,"Nr. Govt. School, Dobhetta",Nangal,arpansociety@gmail.com,NOT AVAILABLE,,91-1887-224741,Social development
Atamsukh Mandbudhi Ashram Run By Tek Chand Sud Charitable Trust,"Old Kanak Mandi, Near State Bank of Patiala",Hoshiarpur,atamsukh@yahoo.com,NOT AVAILABLE,95210 44371,01882-241300,"Child Welfare, Disability, Social Awareness Working To Provide Education and Rehabilitation Services To Differently Abled."
Astitav Chartiable Trust,"1741, Khar Singh Gali, New Awadi, Faiz Pura",Amritsar,astitavamritsar@gmail.com,NOT AVAILABLE,94184 55395,,"Adolescent Girls Welfare, Advocacy On Social Issues, Animal Health, Anti Drug Campaign, Art And Craft, Awareness Generation, Child Labour, Child Rights, Child Welfare, Fair Trade, General – Social Welfare, Grants/Aids, Hiv/Aids, Human Development, Human Rights, Library, Media, Medical Relief, Public Administration, Sex Workers Welfare, Urban Development, Waste Management, Women Development/ Welfare, Women’S Issues, Yoga."
Autism India Today,"5, Hargobind Nagar, Sarhind Road, Patiala",Patiala,autismIndiatoday@yahoo.com,NOT AVAILABLE,93567 67367,0175-5015644,"Disability, Education."
Baba Balwant Singh Charitable Trust,"Tanda Urmar Darapur Road, Tanda",Hoshiarpur,dbehal@rediffmail.com,NOT AVAILABLE,,91-1886-223834,For the help of needy and poor patents.
Baba Farid Charitable Educational Society,"SCF-120-121, Giani Zail Singh Colony",Rupnagar,sajjan.mit@gmail.com,NOT AVAILABLE,,91-188-1263275,
Babadeep Singh Institute,,Patiala,harpreet36_8k@yahoo.com,NOT AVAILABLE,,91-175-2363636,"Creating jobs for needy, promoting humanity thru education."
Bhai Ghaniya Ji Sewa Dal,"C/o Raikhy Studio, Opp. Fire Brigade",Sangrur,bhaighaniyaji@khalsa.com,NOT AVAILABLE,91-99144 88890,,"Helping poor families, seriously ill patients working for clean & green environment."
Bhai Gurdas Educational & Health Development Society,"Main Bazar, Boha",Mansa,vaneetboha@rediffmail.com,NOT AVAILABLE,91-94633 73337,,To promote education.
Blossom Education,Near Ganga Oil Mill,Mansa,vaneetboha@rediffmail.com,NOT AVAILABLE,91-94633 73337,,To promote education.
Bhai Kanaya Ji Nojawan Sewa Dal,,Ludhiana,bhadursingh@yahoo.com,NOT AVAILABLE,91-94631 82620,,People sewa
Bright Sparks Charitable Trust,D-12 Ind Area Ph 1,Mohali,nimratk@gmail.com,NOT AVAILABLE,91-99202 43030,,Eradication of child labour
Brilliant Educational and Training Institute Beti,"625, Phase-1, Mohali",Mohali,bce. mohali@gmail.com,NOT AVAILABLE,98762 77876,0172-5097857,Social Work.
CHIDIA,"62, Vasant Avenue",Jalandhar,kaysanjiv@yahoo.com,NOT AVAILABLE,,91-181-5016303,Saving birds
Christian Reserch & Aids Foundation,"Prayer House Bangi Road, Street 16",Bathinda,Anildbharti@yahoo.co.in,NOT AVAILABLE,91-94641 29592,,Serving people serving God
Citizens First,"652, Palam Vihar, Pakhowal Road",Ludhiana,citizensfirst09@gmail.com,NOT AVAILABLE,91-94172 23912,,Citizen’s civic rights.
Darpan for Autism,"80, Gurdev Nagar, Pakhowal Road",Ludhiana,darpanautism@hotmail.com,NOT AVAILABLE,"91-97799 13463,91-94171 60463",,For train autistic children.
Computer Education & Information Technology Development Society,"Near Naina Devi Mandir, Sunam",Sangrur,vikas867@yahoo.co.in,NOT AVAILABLE,,91-1676-222867,
Charity Medical Trust,"Dr Maheshwri Building, Gill Road",Ludhiana,lifelineldh@mail.com,NOT AVAILABLE,NOT AVAILABLE,"91-161-2493281 ,91-161-2532011",
Deaf Cricket Federation,"2860, Jain Street, Raekot",Ludhiana,dcfpunjab@yahoo.co.in,NOT AVAILABLE,91-94171 25724,,
DO IT,Malwa College of Pharmacy,Bathinda,krishan70@rediffmail.com,NOT AVAILABLE,91-94170 65166,,Educate to all.
ETRDI – Entrepreneurship Training and Rural Development Initiatives,"982, 2nd Floor, Sector 79, Mohali",Mohali,"etrdiindia@yahoo.co.in , etrdiindia2@gmail.com",NOT AVAILABLE,91-94172 49390,,Promotion of self employment.
DGM Institutes,,Ludhiana,davinder.dgminstitutes@gmail.com,NOT AVAILABLE,91-90230 80693,,To educate everyone in it industry.
Gagan Charitable Society,"49/797, Mann Nagar Dera Road, Batala",Gurdaspur,gagan.khindria@yahoo.co.in,NOT AVAILABLE,91-98144 20440,,To provide medical education.
Dr D N Kotnis Health & Education Centre,Saleem Tabri,Ludhiana,,NOT AVAILABLE,,"91-161-2741541 , 91-161-2742481",Health
GGS Institute Of Information Communication Technology India,"1340/316, Rishi Nagar",Ludhiana,info@ggsict.org,NOT AVAILABLE,,91-161-2301853,Working with united nations euro. commission and commonwealth.
ENDEAVOUR,"Sadar Bazar, Sultanpur Lodhi",Sultanpur,plus.endeavour@gmail.com,NOT AVAILABLE,91-94171 13662,,Misc
