Aadhar Foundation,"Kapoorawto Ka Bada, Salumber",Udaipur,bharat9854@rediffmail.com,NOT AVAILABLE,95499 59445,,"Social Work, Upliftment Of Society."
A Zephyr of Global Awareness and Means Aggrandizement(AAGAAZ),"Sorwa, Nangal Khoria, Behror",Alwar,deepu.yadav@gmail.com,NOT AVAILABLE,80035 96823,,Social Work.
AAS – Vishwas Foundation,"67, Chankya Nagar, New Shivbari Road",Bikaner,arvindsaraswat2020@gmail.com,91-151-2231672,91-98290 41782,NOT AVAILABLE,Education for all.
Aakankha Seva Samiti,"Sainth Khirkhiya Karauli, Near No 3 School",Karauli,vijay_bindal@rediffmail.com,91-7464-250464,91-94139 21589,NOT AVAILABLE,Education for rural area in Distt Karauli
Aadhar Research Institute,"B-40, First Floor, Model Town",Jaipur,info@aadhar.org.in,91-141-2750398,,NOT AVAILABLE,Integrated rural development.
Aadhar Redefining Base,"Rawat Tour & Travels, Opp. Chaudhry Petrol Pump",Jaipur,manoj.aadhar@gmail.com,91-141-2790156,,NOT AVAILABLE,Awareness
A Bless of Creator Society,"C 12, Lal Kothi Shopping Centre, Near Laxmi MAndhra Cinema, Tonk Phatak",Jaipur,pankajguptaindia@gmail.com,91-141-2740072,,NOT AVAILABLE,
AAKHYAN,"Sai Dham Agarpura, Bhilwara",Rajasthan,jhankal@indiatimes.com,,91-99202 92090,NOT AVAILABLE,"Theatre, rural and tribal art forms of Rajasthan."
ABCDS Society,"99, Moti Nagar, Queens Road",Jaipur,abcdssociety@gmail.com,91-141-2355564,,NOT AVAILABLE,
Abhigyan Charitable Trust,"Vasudev Nagar, Behind Baradari",Dausa,abhigyandp@gmail.com,,91-94140 36489,NOT AVAILABLE,Rural development
AASH – Academy for Social Help,"71/279, Pratap Nagar",Jaipur,academyforsocialhelp@gmail.com,91-141-3076137,91-97995 35656,NOT AVAILABLE,"Health and family welfare, streat children development and education, drinking water, education & literacher."
Aastha Sewa Sansthan,"Near City Post Office, Gandhi Chowk",Nagaur,Aasthasewasansthan@yahoo.com,,91-94143 03057,NOT AVAILABLE,Social welfare.
Abhyutthanam Society,"192, Swaran Jayanti Nagar",Bharatpur,abhyuthanamsociety@gmail.com,NOT AVAILABLE,"94688 85885, 99839 55900, 96809 24446, 96809 64447",,"Child Labour, Child Rights, Child Welfare, Education, Human Rights, Law, Legal Awareness, Poverty, Research, Social Awareness, Women Development/Welfare, Women?s Issues.."
Abhinav Vikas Evam Shikshan Sansthan,"146 B, Shri Gopal Nagar",Jaipur,avssngo@gmail.com,91-141-2503212,91-98874 96072,NOT AVAILABLE,
ABLNS – Alliance for the Betterment of lives for Nobel Society,"New Bus Stand, Sindhi Colony",Banswara,s143_1155@yahoo.com,91-2962-244673,"91-94143 64561, 91-94147 25858, 91-94146 45848.",NOT AVAILABLE,
Abhinav Society,"65-66, Shanti Colony",Jaipur,svashishtha@hotmail.com,,,NOT AVAILABLE,Enterpreneurship and community development in rural and urban areas.
Academy for Socio-Legal Studies,"49, Viveknagar Station Road",Jaipur,aslsraj@gmail.com,91-141-2206139,,NOT AVAILABLE,Cooperation and resource building.
ACATA – Action for Coopretion Activity in Thar Area,"Swami Ji Ki Dhani, Pokaran",Jaisalmer,bhambhu12@rediffmail.com,91-2994-222273,"91-90017 53410, 91-97849 06138",NOT AVAILABLE,"Child right, advocecy, livelihood."
Acata Sansthan,"Swami Ji Ki Dhani, Pokaran",Jaisalmer,bhambhu12@rediffmail.com,91-2994-222273,"91-97849 06138, 91-90017 53410",NOT AVAILABLE,"Education, health."
Acharya Tulsi Memorial Society,"Kothari Sadan, Opp. Sainik Rest House",Churu,,91-156-2250856,,NOT AVAILABLE,Education
Action for Food Production Field Unit-VII,"1185, Hiran Magri, Sector 11",Udaipur,"afu03@afpro.org, afproraj@sancharnet.in",91-294-2583506,,NOT AVAILABLE,"Development(General), Disadvantaged communities, Poverty, Rural Development"
Acharya Education Society,"C/o Acharya Infotech, Karauli",Karauli,acharya_infotech1@yahoo.com,91-7464-20230,,NOT AVAILABLE,Information & knowledge.
Action Sansthan,"Ambedkar Circle, Bikaner",Bikaner,,"91-151-200146, 91-151-523557",,NOT AVAILABLE,Sustainable Development
Action India Samiti,"Madri, Udaipur",Udaipur,godania_pk@rediffmail.com,,91-92526 87744,NOT AVAILABLE,Social and educational.
Adarsh Gyan Mandir Sansthanm,"757, Barkat Nagar",Jaipur,agms_org@yahoo.co.in,91-141-2390361,91-98284 05168,NOT AVAILABLE,
Adarsh Shiksha Samiti,"Patel Wada, Ward No.7, Salumber",Salumber,adarshsalu@yahoo.mail,91-2906-230092,,NOT AVAILABLE,
Adhikar Sansthan,"Ward 6, Sadulshahar",Sadulshahar,adhikarsansthan@gmail.com,,91-94145 12420,NOT AVAILABLE,Legal awareness.
Adarsh Vikas Sansthan,"165, Gayatrinagar-A, Maharanifarm, Durgapura",Jaipur,rrokana@yahoo.com,91-141-2761286,91-93141 48771,NOT AVAILABLE,
Adventure Wheels,"3, Malviya Nagar, Golf Course Road",Jodhpur,adventurewheels@mail.org,91-291-2670807,91-99831 06608,NOT AVAILABLE,To develop awareness through means of adventure sports.
AEDS – Alliance for Education & Development Society,"16, Veejaiwadi, 6th Lane",Jaipur,info@volunteersindia.org,91-141-2337444,91-96369 23456,NOT AVAILABLE,"Education, health, woment empowerment, child development, rural development."
AGAM Sansthan,"67, Shankar Colony, I Meera Chowk",Sri Ganganagar,aps_sgnr@yahoo.co.in,91-154-2462773,91-94140 90773,NOT AVAILABLE,"Health, education, rural development."
Aditya Education and Walfair Socity,"Agrawal Sewa Sadan, Police Line Road",Jhalawar,adityaeducationjwr@gmail.com,NOT AVAILABLE,"94130 46511, 74322 32511",,"Community Development, E-Learning, Energy, Environment, General – Social Welfare, Livelihood, Research, Rural Development, Self Help Groups, Society and Economy, Trade and Industry Welfare we leve in socity and moral duty for socity."
Agaz Bharti Sansthan,"VPO Sirmour, Tehsil Ramgarh",Alwar,hyatt_kha21@yahoo.com,,91-98736 23060,NOT AVAILABLE,Social Service
Agrawal’s Group of Education Society,"60 Feet Road, Murti Colony, Near Khoka General Store",Alwar,basant.priya@yahoo.com,91-144-2738218,,NOT AVAILABLE,"Tribal development, fight for right by peacefully, social, economic and education, save wild life."
Akschat Sansthan,"123, Vidya Nagar, Sector 4",Udaipur,artimlsu@yahoo.co.in,91-294-2460717,,NOT AVAILABLE,"Rural health, science and education."
Akshyavat Sansthan,"Hiran Magri, Sector 14",Udaipur,drjasprit2000@yahoo.co.in,91-294-2584214,91-93525 12121,NOT AVAILABLE,
Akhil Bharat Sindhi Boli Ain Sahit Sabha,"3 Ta 24, Jawahar Nagar",Jaipur,sahitsabha@yahoo.in,91-141-2651747,91-98290 52828,NOT AVAILABLE,
Alert Sansthan,NOT AVAILABLE,Udaipur,NOT AVAILABLE,NOT AVAILABLE,"91-94141 61940, 91-94141 60778",NOT AVAILABLE,"Child Development, Women development, Education, Agriculture & Environment."
Alfa Education Society,"Pratap Nagar, Ashapura Colony, 56, Opp. of MSW College",Udaipur,lomlokesh1986@yahoo.co.in,,"91-92141 78594, 91-92521 96342",NOT AVAILABLE,"Rural and tribal development, fight for right by peacefully."
Alisha Vikas Sansthan,"17, Shiv Cloth Market, Bazaria",Sawai Madhopur,mmt_raj@yahoo.com,91-7462-224404,,NOT AVAILABLE,"Educational, environment, health & human rights etc."
Akshar Adhyayan Awan Anusandhan Sansthan,"Shiv Shakti, Opp. Panchayat Samiti, Highway Link Road, Bigga Bass, Sri Dungargarh",Sri Dungargarh,aaaisdgh@gmail.com,91-1565-224484,91-94144 16250,NOT AVAILABLE,Studies and research project
Alpha Science & Technology,"Opp. Guru Nanak Sindhi Colony Gate, Ashaganj",Ajmer,sson2004@yahoo.com,,"91-98282 83213, 91-98291 42601",NOT AVAILABLE,To make foundation of well being and level of living in Rajasthan.
Al Qasam Ul Iqra Islamic Education Society,"Bapu Nagar, Near New Bus Stand, Ward-20, Todaraisingh",Tonk,,NOT AVAILABLE,77378 40937,,"Ayurveda, Education All Acetivites."
Amrit Dhara Sanstha,"74, Vidhyut Nagar",Bhilwara,amritdhara_@sanstha@rediffmail.com,,91-92514 47374,NOT AVAILABLE,
Amrit Mangal Seva Sansthan,"Rishabhdeo, Udaipur",Udaipur,gaurav_489@yahoo.com,,91-98989 23993,NOT AVAILABLE,To become a successful state in India.
Agribusiness Promotion,"405 Apeksha Complex, Sector 11, Hiran Magri",Training & Consultancy Centre,info@aptaccentre.com,,91-94142 63438,NOT AVAILABLE,Agribusiness training and consultancy.
Amritadevi Shiksha And Jan Seva Samiti,Gudamalani,Barmer,admpshk@gmail.com,NOT AVAILABLE,99285 72500,,"Education, Governance."
Anand Educational Sansthan,"New Colony, Rupbas",Bharatpur,,,91-90016 60860,NOT AVAILABLE,"Sustainable development, urban development, women’s, girls education."
AIRD – Anand Institute of Research & Development,"52, Surya Nagar, Gopalpura Bypass",Jaipur,airdjp@gmail.com,91-141-2590005,,NOT AVAILABLE,Development
Anand Bharti Care & Development Society,"99, Moti Nagar West, Queens Road",Jaipur,abcdsociety@gmail.com,91-141-2355564,91-94601 46937,NOT AVAILABLE,Human welfare
Antakshari Foundation,"Rampali Sarsari, Kekari",Ajmer,shivnayal@gmail.com,,"91-98685 01389, 91-94133 40966",NOT AVAILABLE,To help the socially and economically backward people to make them self sufficient.
