Aanand Charitable Trust,"32/126, LIC Jeevan Bima Nagar",Chennai,aanandcharitabletrust@gmail.com,91-44-26549083,,NOT AVAILABLE,Child care project (education).
Aam Trust,"300, St. Joseph’s Complex, Michaelpatty, Thikattupally",Thanjavoure,aamtrust2010@yahoo.in,91-431-6522296,91-94437 19998,NOT AVAILABLE,Serving the deserving society.
Aaga Foundation,"36, 3/2039, 2nd Cross Street, Santhosh Nagar, Madanandapuram",Chennai,aagafoundation@gmail.com,NOT AVAILABLE,"98414 99695, 80562 88021",044-24829695,"Agriculture, Community Development, Environment, Human Rights, Legal Awareness, Livelihood, Old Aged Welfare, Plantation, Pollution, Poverty, Rural Development, Science and Technology, Social Awareness, Sustainable Development, Training, Volunteers, Women Development/Welfare, Yoga, Youth."
Aacham Thavir Disabilities Welfare Trust,"13-6, Trichy Chinna Samy Street, Anna Nagar, Korukkupet, Chennai",Chennai,aachamthavirtrust@gmail.com,NOT AVAILABLE,"84383 16124, 86088 17788",,"Disability, Mentally Handicapped Persons, Women Development Welfare."
Aalayam Foundation,"114/3, Ponniamman Koil Street, Sri Mahalakshmi Nagar, Numbal",Chennai,info@aalayam.org,NOT AVAILABLE,,044-32000780,"E-Learning, Education, Employment."
AASHA,Chennai,Chennai,theaashafamily@gmail.com,91-44-22395804,,NOT AVAILABLE,Aasha is promoted and run by caregivers (families) of persons with mental illness.
AAIWWA – Arcot Annai Indira Women’s Welfare Association,Vellore,Vellore,aaiwwa_arcot@yahoo.com,91-4172-233889,,NOT AVAILABLE,
Aashraya Andhra Mahila Sabha,"12, Rosary Church Road, Santhome",Chennai,,91-44-4942566,,NOT AVAILABLE,
Abi Educational & Charitable Trust,"81 C 6, Chettikulam Junction, P.W.D Road",Nagercoil,arul_mani2006@yahoo.co.in,91-4652-425031,91-94427 68737,NOT AVAILABLE,To help the coastal area people and earth-quake people education.
Academy of Coders & Health Information Professionals,"15-Jan, Govindaraj Street",Vellore,saravanan@achip.org,91-416-2245153,,NOT AVAILABLE,To create a awareness about the classification of disease which will help us in generating data.
AATHARRAVHU,"56/113, Q Block, MMDA Colony, Arumbakkam, Thirukuralar street",Chennai,aatharravhu@gmail.com,91-44-23632055,91-99414 28162,NOT AVAILABLE,Environment protection
Academy of Indian Music & Arts,"Vidyaapeetam, Chennai",Chennai,aima.icap@gmail.com,91-44-24466678,,NOT AVAILABLE,Music and allied arts.
ACD – The Animators for Community Development,"ACD Cross-Road, Arakandanallore",Tirukoilore,salethaiyan@yahoo.co.in,91-4153-224236,,NOT AVAILABLE,To bribg about a harmonious development of the poor downtrodden and the marginalised people.
Ability Foundation,"28, Second Cross St, Gandhi Nagar, Adyar",Chennai,information@abilityfoundation.org,91-44-24452400,,NOT AVAILABLE,"Disability, Education, Employment, Human Rights"
Academy for Psychotherapists,Chennai,Chennai,rajamohang@gmail.com,91-44-65280838,,NOT AVAILABLE,Psychotherapy.
ACT – Association for Community Training,"Mugaiyur, Villupuram",Villupuram,act_mugaiyur@rediffmail.com,,91-94433 35501,NOT AVAILABLE,Co operation
Action Aid India,"ActionAid India, 23, West Park Road",Chennai,roche@actionaidindia.org,91-44-6191620,,NOT AVAILABLE,"Development(General), Disability, Education, Health, Poverty."
Action for Child Labour,"G-4, H-39 Seashore Apts, 5th Main Road",Chennai,cholaiad@eth.net,91-44-4410265,,NOT AVAILABLE,Child welfare
Action for Rural & Urban Liftments Charity Trust,"60, Vasantham Street, Indira Nagar, Otteri",Vellore,arulcharitytrust@rediff.com,91-416-2264826,,NOT AVAILABLE,Request ideas suggestions resources to charity purpose materials & monitory helps.
Action for Welfare and Awakening in Rural Development (AWARD TRUST),"Vadalur, Kurinjipadi",Cuddalore,awardtrustIndia@gmail.com,NOT AVAILABLE,82200 79022,04142-299559,"Adolescent Girls Welfare, Agriculture, Animal Welfare, Awareness Generation, Child Labour, Child Rights, Community Development, Consumer Issues, Development (General), Disability, Disadvantaged Communities, Disaster Management, Economics and Finance, Education, Employment, Environment, Gender."
Action for Man & Mankind,Dindigul,Dindigul,ammango.india2009@gmail.com,91-4364-270279,91-94444 93847,NOT AVAILABLE,
Action of Human Movement (AHM),"3/13, Madha Koil Street, Kammalam Poondi, Uthiramerur",Kanchipuram,info@ahmngo.org,NOT AVAILABLE,94435 96715,044-27293555,"Child Welfare, Community Development, Local Self Governance (Panchayati Raj), Minorities, Right To Information, Training, Women Development/Welfare, Women’S Issues, Youth Women Social Enterprise."
Action in Disabilities India,"9, Rice Shop Street, Satankulam",Tuticorin,,91-4639-66257,,NOT AVAILABLE,"Aged, Disability, Disadvantaged communities, Women’s issues"
Acts of Mercy,"110, Nelson Manickam Road, Aminijikarai",Chennai,vfmadras@vsnl.com,"91-44-3740848, 91-44-3740104",,NOT AVAILABLE,"Child welfare, disaster management, poverty, training."
Adaikalam Trust,"80 SSV Koil, 1st Street, Perambur",Chennai,adaikalam@live.com,,"91-90031 85609, 91-99626 76335",NOT AVAILABLE,Education development
ADAIYAALAM,"2/563, Bettadhapuram, Karamadai",Coimbatore,adaiyaalam.cbe@gmail.com,,91-98423 51324,NOT AVAILABLE,"Education, child & women development."
ADAM,"56, Rajaji Nagar",Kumbakonam,balamurugan.ayyaru@yahoo.com,,91-97893 48137,NOT AVAILABLE,To promote a business related books for the entrepernuers.
Adayar Exnora Womens Guild,"No. 7, 8th Cross Street, Indira Nagar, Adyar",Chennai,,91-44-4413191,,NOT AVAILABLE,"Disability, Education"
Adisil – Agrarian Development Institute for Sustenance & Improved Livelihood,"15/B, Pioneer Colony",Madurai,adisilmail@gmai.com,,91-98420 48317,NOT AVAILABLE,Sustainable agriculture
Aditya Medical Trust,"Health for All, Madurai",Madurai,amt.amt2007@rediffmail.com,91-452-4367424,,NOT AVAILABLE,On health matters.
AENF – Airman Express Network Foundations,Chennai,Chennai,airmanexpress@gmail.com,,91-98842 91488,NOT AVAILABLE,Ngo network
Aesa Charitable Trust,"100, Officers Tow, Meenambal Puram",Madurai,aesacharitabletrust@yahoo.com,91-452-2529280,91-95003 41113,NOT AVAILABLE,"Children education, women empowerment and old people care."
Agathyar Nature Cure Ashram,Erode,Erode,naturearul@yahoo.co.in,91-424-2910244,,NOT AVAILABLE,Health.
Agency for Comprehensive Health & Development,"156-F Block, 8th Street, Anna Nagar East",Chennai,,91-44-6265328,,NOT AVAILABLE,Child welfare
Agasthyasamee Educational Society,"628, 52nd, 9th Sector, K.K. Nagar",Chennai,agasthyasamee_1991@yahoo.com,,91-98412 67476,NOT AVAILABLE,
Agni Trust and Ngo’s Consultancy Service,"D 22, Hudco Colony, V.K. Road, Peelamedu",Coimbatore,agnimohankumar@yahoo.co.in,91-22-2591081,91-93620 09979,NOT AVAILABLE,"Medical and educational awareness, giving relief measures to needy."
AGRO – Action Group for Rural Organisations,"35, Upstairs, Pothys Nagar, Mharaja Nagar",Tirunelveli,action_jeyam@yahoo.co.in,,91-97870 16549,NOT AVAILABLE,Working for empowerment of poor and women.
AGAL,"18, New Street",Chennai,agal2004@yahoo.com,91-44-42345295,,NOT AVAILABLE,Networks
AFFORD – Anthyodaya Foundation for Rural Development,"14, Mission Hospital Road, Woraiur",Trichy,afford_j@yahoo.co.in,91-431-2760443,,NOT AVAILABLE,Conservation of medical plants and revitalization of home remedies.
Agni Charitable & Endowment Trust,"15/2, IRTT College Road, Vasavi College",Erode,agnisraja@gmail.com,91-424-2535380,,NOT AVAILABLE,"Rural developement, temple renovation, medical aid, sanitation and health facilities."
Ahimsaa Integrated & Charitable Trust,"16, Selvi Amman Kovil Street, Mudukulathur",Ramanathapuram,ahimsaaictrust@yahoo.com,91-4576-221527,,NOT AVAILABLE,Health and education development.
AIDCSC – All India Deprived Community Support Centre,"70/1, Market Lane, 7th Street, Kaladipet, Thiruvottiyur",Chennai,jisha@indiancommunities.org,91-44-25950960,91-94440 36779,NOT AVAILABLE,Developing the disadvantaged.
Ahal Foundation,"114-A, Elayankudimaranayanar Street, Rajakudieruppu, Palayamkottai",Tirunelveli,ahalfoundation@gmail.com,NOT AVAILABLE,86820 86986,,Social Work
Agni Charitable Trust,"Thattara Valasu, Eroad",Erode,agnimohankumar@yahoo.co.in.,91-4257-247501,,NOT AVAILABLE,Education and medical help.
AHM – Action of Human Movement,"3/13 Madha Koil street, Kammalam Poondi, Uthiramerur",Kanchipuram,ahmsociety_kkm@rediffmail.com,91-4427-293555,91-94435 96715,NOT AVAILABLE,"Education, health, women empowerment, child development, rural development."
AID – INDIA,"132, Avvai Shanmugam Salai, Gopalapuram",Chennai,aidindia@vsnl.net,91-44-8115058,,NOT AVAILABLE,"Child welfare, Education, Environment, Food and Nutrition, Health, Information and Communications Technology, Poverty, Rural Development, Science and Technology, Women’s issues."
AIM for Seva,"2nd Floor, Sri Nidhi Apartments, 32/4, Sir Desika Road, Mylapore",Chennai,info@aimforseva.org,91-44-24987955,,NOT AVAILABLE,Education and healthcare.
Aim R.E.E.D Trust,"26, Manivilan, Street-1",Pudukkottai,aimreedtrust@gmail.com,91-4371-220674,,NOT AVAILABLE,"Rural, educational, economic development."
Aikya – School for Children with Special Needs,"1/1 Bagirathi Ammal Street, Raja Annamalai Puram",Chennai,aikya_school@hotmail.com,91-44-4938443,,NOT AVAILABLE,"Child welfare, Disability, Education, Health, Women’s issues."
AIDS Control & Community Education Programme Trust,"9, Nathamuni Street, Shenoy Nagar",Chennai,accept@satyam.net.in,"91-44-6442024, 91-44-6445604",,NOT AVAILABLE,Health
Agro Technologists Consultancy,"11-Jul, Sapthagiri Colony",Chennai,agrotechnologistsconsultancy@yahoo.co.in,91-44-23719988,,NOT AVAILABLE,Agriculture & rural development.
Aide Et Action,"Kodambakkam, Chennai",Chennai,info@aea-india.org,91-44-24727716,,NOT AVAILABLE,Education
Akkam Rural Development Trust,"13, Umayal Building, Sanjeevi Nagar, East Devathanam",Trichy,info@indianyoungachiever.in,NOT AVAILABLE,99434 07509,0431-2730158,"Awareness Generation, Child Welfare, Development (General), Education, Health, Information and Communications Technology, Rural Development, Youth."
Aishwariam Social Welfare Organisation And Resource Training Centre,"1/382, Krishna Moorthy 1st Street, Nggo Colony",Coimbatore,aswoindia@gmail.com,NOT AVAILABLE,98945 53392,0422-2645101,"Adolescent Girls Welfare, Anti Drug Campaign, Awareness Generation, Child Labour, Corporate Social Responsibility, Education, Grants/Aids, Hiv/Aids, Livelihood, Old Aged Welfare, Self Help Groups, Sex Workers Welfare, Training, Women Development/Welfare, Youth."
Akshaya Rehabilitation Trust,"37-G/168, Prasath Road",Madurai,k_kathiresan@yahoo.com,,91-98430 70091,NOT AVAILABLE,Disability human rights & development.
AIVO – All India Voluntary Organisaion’s Welfare Foundation,"3, Chelliah Nagar, 1st Street, 3rd Cross Street",Madurai,aivoindia@yahoo.com,,91-99944 41105,NOT AVAILABLE,
Alaskar Trust,"Santhanathapuram 5th cross, Pudukkottai",Pudukkottai,alaskar2009@gmail.com,,91-99427 34748,NOT AVAILABLE,Service.
Akilabharathi Social Development Centre,"Kaveri Thottam, Annamangalam, Veppanthattai",Perambalur,agilabharathi@yahoo.co.in,91-4328-320327,91-93630 52954,NOT AVAILABLE,
All India Dr Ambedkar Trust,"94, Dr. Ambedkar Nagar New Colony, Erumaptty P O",Namakkat,aiambedkartrust@usa.net,"91-4286-68406, 91-4286-30550",,NOT AVAILABLE,"Employment, Poverty, Rural Development, Women’s issues"
All India Computer Educational Trust,"G K Tower, Cheyyar",Cheyyar,aicet@live.com,,91-98429 58845,NOT AVAILABLE,
AIRD – Association for Integrated Rural Development,Tirunelveli,Tirunelveli,"aird@bsnl.in, airdvlr@yahoo.co.in",91-4637-221509,,NOT AVAILABLE,For any clarification or for working togather.
All India Social Welfare Development Trust,"14-Jun, Arumuga Mudaliar St",Vellore,aiswdt@yahoo.com,,91-93453 03560,NOT AVAILABLE,Helping to poor people.
All India Movement for Seva,Chennai,Chennai,"info@aimforseva.org, srinivasan@aimforseva.org",91-44-24987955,,NOT AVAILABLE,Rural education and health.
All Indian Minority Christian Trust,"Parithiputhur, Arakkonam",Vellore,aimct20016@gmail.com,NOT AVAILABLE,96298 95457,,Minorities Welfare and Educatrion.
Alaihal Trust,"66, Sri Balaji Nagar, Kathakinaru, Kadachanendal",Madurai,alaihaltrust@yahoo.in,NOT AVAILABLE,98438 79066,0452-4231066,Rehabilitation.
AIRDC – All India Research & Development Centre,"70/1, Market Lane, 7th Street, Kaladipet, Thiruvottiyur",Chennai,jisha@airdc.org,91-44-25950960,91-94440 36779,NOT AVAILABLE,"Education, research and development."
Alpha Educational & Charitable Trust,"T.S.T. Complex 2nd Floor, Poovalur Road Lalgudi",Trichy,rajan_atc@yahoo.com,,91-98426 25711,NOT AVAILABLE,Education.
All India Other Backward Classes Employees in Indian Ordnance Factories Welfare Association,Trichy,Trichy,aiobc.iofs.try@gmail.com,,91-93615 80564,NOT AVAILABLE,
Alice Welfare Foundation,"Opp. Anna Lakaiarangam, I St Floor",Salem,thamizhan1432001@yahoo.co.in,,91-98433 40926,NOT AVAILABLE,Aiming to promote free computer education to rural peoples and to establish an orphanage.
Alternative for India Development,"1, V.G.N. Nagar, Iyyappanthangal",Chennai,aidindia@giasmd01.vsnl.net.in,"91-44-6272336, 91-44-6272340",,NOT AVAILABLE,"Child welfare, Development(General), Education, Health, Rural Development, Tribal issues, Water, Women’s issues"
Altrusa International Inc Madras Club,"50, Montieth Road, Egmore",Chennai,saraswathinair@hotmail.com,"91-44-2351628, 91-44-2351427",,NOT AVAILABLE,"Child welfare, Disadvantaged communities, Education, Employment, Health, Information and Communications Technology, Training, Women’s issues"
Amala Universal Restorative Trust,"Sivakasi, Virudhunagar",Virudhunagar,amalacervices@gmail.com,,91-98433 25266,NOT AVAILABLE,Rural development
AMK – Athencottasan Muthamizh Kazhagam,"7-46 B, Mondaikad",Kanyakumari,amkcentre@gmail.com,"91-4651-222356, 91-4651-223382",91-94446 91456,NOT AVAILABLE,
Allied Social Welfare Education Trust,"1, E.Venkatakrishna Road",Tiruppur,janishaudt@gmail.com,,91-98438 09469,NOT AVAILABLE,"Educational, rural development."
Alpha Charitable Trust,"620/410-C, Trichy Main Road, Dhena Bank Near",Salem,alphacharitabletrust@yahoo.in,91-427-2465825,,NOT AVAILABLE,For trust purpose.
Ambedkar Martyr Imannuvel Sekar Mulitfacted Service Trust,"Melakodumaloor, Ramanathapuram",Ramanathapuram,devandhiraselvanhr@yahoo.co.in,91-4564-222180,,NOT AVAILABLE,Devandhirar youth development.
AMMA – Annai Medical Manpower Academy,"48-A, Main Road, Near Railway Station Peravurani",Thanjavur,ngoamma@yahoo.com,91-4373-232781,,NOT AVAILABLE,"Child welfare, disability, health, women’s issues."
Anawim Trust,"490/1, Veerapandianpattinam, Trichendur",Tuticorin,anawim trust@gmail.com,91-4639 245122,,NOT AVAILABLE,Development
Anandaragam Children Welfare Trust,"Rajarajeswari Apts., TNGO. Colony, Nanganallur",Chennai,clickiyer@yahoo.com,91-44-43588193,,NOT AVAILABLE,To help the needy children.
Amuthasurabi Women Development Society,"265-B, rameshmurugan complex",Theni,"awds_theni@yahoo.in, green_79@sify.com",91-4546-251740,,NOT AVAILABLE,Micro credit support.
Amma Trust – Aravanigal Magalirgal Munnertra Ammaippu Trust,"26-A, G.S.T. Road, 1st Floor, Chengalpattu",Kanchipuram,"ammatrust19@yahoo.com, ammatrust19@gmail.com",91-44-27433175,,NOT AVAILABLE,
ANBAGAM,"No.11 (Old No. 6) Perianna Mudali Street, Seven Wells",Chennai,anbagamcare@yahoo.com,91-44-5369865,,NOT AVAILABLE,"Disability, Health"
Anbalaya Handi Capped Rehabilitation Center Trust,"B.T.M Complex, Sethu Salai",Ramanathapuram,sintha_65@yahoo.co.in,,91-94426 75900,NOT AVAILABLE,
ANBALAYAM,"MGM Complex, Siva Automobile Off",Trichy,anbalayam2001@yahoo.com,91-431-2333102,,NOT AVAILABLE,Environment programme
Anbalayam Charitable Trust,Dindigul,Dindigul,anbalayam@gmail.com,91-451-24060,,NOT AVAILABLE,"Women empowerment, child development, rural development, disability agriculture oldage care."
Anbu Illam Educational Services,"2/428, Mannikkapuram, Mudalipalayam",Tiruppur,svadivelan37@gmail.com,,"91-93644 15611, 91-92458 79750",NOT AVAILABLE,"Womens, poor childrens coputer educations."
Anbu Karangal Trust,"2/99 Periyar Street, Palavakkam",Chennai,anbukarangal@yhaoo.com,91-44-4925252,,NOT AVAILABLE,"Aged, Child welfare, Education, Food and Nutrition, Health"
Anbagam CSI Home for the Aged,"Besant Avenue, Adyar",Chennai,,91-44-4915047,,NOT AVAILABLE,Aged
Anbujothi Ashram Run by Nalla Sanariyar Charitable Trust,"Villupuram Gingee Main Road, Kundalapuliyur",Villupuram,anbujothiashram@gmail.com,"91-4146-326845 ,91-4146-292279",,NOT AVAILABLE,A residential home for mentally ill and destitutes.
Anbu Ullangal,"Annai Theresa Nagar, kootampuli",Tuticorin,sheila_jayan@yahoo.com,91-461-2271538,"91-98421 99433, 91-90356 78121",NOT AVAILABLE,"Home for the aged, mentally retarted and destitude children."
Anbarasi Social Action,Dindigul,Dindigul,anbarasidgl@yahoo.co.in,91-451-2430536,,NOT AVAILABLE,Funds for orphanage.
Anbu Charities,"71-A, Pathal Street",Coimbatore,franky_005@yahoo.com,,91-93632 25008,NOT AVAILABLE,Working for the poor children.
