Aadarsh Gramin Sewa Sansthan,"13, Sun City, Panchwati, Kamata, Chinhat",Lucknow,agssansthan@rediffmail.com,91-522-6456002,,NOT AVAILABLE,"Social work, child, aids."
AADHAAR,"Piparanem, Pandeypur",Gorakhpur,aadhaar_gkp@rediffmail.com,,91-98398 01543,NOT AVAILABLE,"Sustainable agriculture, environment, women empowerment."
Aadarsh Aawaaz Society,"201, Alakhnanda Colony, Khushalpur, Majholi",Moradabad,aadarsh.aawaaz@gmail.com,NOT AVAILABLE,"94577 06620, 88812 31255, 87448 72401",0502480536,"Adolescent Girls Welfare, Advocacy On Social Issues, Animal Health, Awareness Generation, Child Labour, Child Rights, Child Welfare, Disaster Management, Education, Employment, Environment, Forest Management, Grants/Aids, Human Development, Human Rights, Information And Communications Technology, Irrigation, Labour, Law, Legal Awareness, Old Aged Welfare, Orphanage, Physically Disabled, Poverty, Social Awareness, Society And Economy, Right To Information, Trafficking Of Women, Urban Development, Volunteers, Water, Women Development/Welfare, Women’S Issues, Yoga, Youth Improve, The Education Facilities To Needed."
AADHAR,"1022, Kalibari Mutthiganj",Allahabad,aadhar.service@gmail.com,,91-94523 15361,NOT AVAILABLE,Educate children.
A.W Educational & Social Welfare Society,"Sekhpur Kasila, Sanjay Gandhi, Puram",Lucknow,sw.ngolko@gmail.com,91-522-2347235,91-80525 67373,NOT AVAILABLE,
Aaghaaz Foundation,"116/B, Tagore Town",Allahabad,aaghaaz.ekpahel@gmail.com,NOT AVAILABLE,94519 01301,,"Adolescent Girls Welfare, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Cultural Heritage., Cultural Issues, Education, General – Social Welfare, Group Promotion, Human Development, Human Rights, Sex Workers Welfare, Social Awareness, Right To Information, Trafficking Of Women, Training, Women Development/Welfare, Women’S Issues, Youth."
Aanan Face of the Society,"Indira Nagar, Lucknow",Lucknow,raghav.rajput@gmail.com,,91-93823 70009,NOT AVAILABLE,To serve the society through providing education to poor children & uplifting destitute.
Aajeevika Vikas Sansthan,"Pahari, Karvi",Chitrakoot,kushalyadav@sify.com,,91-94517 52351,NOT AVAILABLE,
Aap Aur Hum,"143/1, Sukhdev Singh Road",Pratapgarh,majmoon@rediffmail.com,91-5342-224312,,NOT AVAILABLE,Social work
Aaron Foundation,"21/141, Sector-21",Lucknow,aaronfoundation_ngo@yahoo.co.in,,91-93357 38852,NOT AVAILABLE,"Child welfare, disadvantaged communities, environment, health, women’s issues and old age care."
