Aagaas Federation,Pipalkoti,Chamoli,aagaasfederation@gmail.com,NOT AVAILABLE,94565 91271,"01372-266588, 0135-2750280",The Organisation Is Working For The Promotion Of Ecotourism In Himalaya Aprt From Thsi Organisation Is Actively Involved. In Environment Education In School System.
Aadarsh Samaj Sewa Siksha Samiti,Gopeshwar,Chamoli,vijjy29@rediffmail.com,NOT AVAILABLE,91-98973 23084,,"Poor Children Education, Women Development."
Aas Sewa Samiti,Janoti Palari,Bageshwar,lalit_janotig@rediffmail.com,NOT AVAILABLE,91-94129 30403,,
Aasha,"2-A, Mohanpur, Premnagar",Dehradun,forrce@gmail.com,NOT AVAILABLE,91-94101 34745,,
AAS Society,"Dewdi, Chamethakhal",Pauri Garhwal,aas.society@gmail.com,NOT AVAILABLE,91-98710 28441,91-1386-287169,Health
Aadhar Welfare Society,"Mohalla Katoratal, Near Master Tall",Udham Singh Nagar,javed_ali62@yahoo.com,NOT AVAILABLE,91-99279 17236,,Development of women.
Aadhaar Samajik Viksa Samiti,"75-A, Friends Plaza, Rajpur Road, II nd Floor",Dehradun,aadhaarngo@gmail.com,NOT AVAILABLE,99974 02973,,"Adolescent Girls Welfare, Advocacy On Social Issues, Awareness Generation, Child Labour, Child Rights, Child Welfare, Climate Change, Consumer Issues, Development (General), Disaster Management, Education, Employment, General – Social Welfare, Human Rights, Legal Awareness, Livelihood, Plantation, Pollution, Poverty, Rural Development, Self Help Groups, Social Awareness, Right To Information, Training, Volunteers, Water, Women Development/Welfare, Women’S Issues."
AASRAA Trust,"119/1, Vasant Vihar",Dehradun,promo@aasraatrust.org,NOT AVAILABLE,91-94117 22266,91-135-6456991,"Development in city slums Dehradun, support for NGO for slum development, social development of slum."
Aastha Swasthya Paryavaran,"14, Bigha Muni Ki Reti (T.G.)",Rishikesh,mukeshnau@yahoo.com,NOT AVAILABLE,91-97191 37187,,Health & environment.
Aastha Swasthya Paryavan Avam Vikas Samiti,"Muni Ki Reti, Rishikesh",Tehri,aastha_2007@ymail.com,NOT AVAILABLE,89094 79466,,"Environment, Health, Rural Development, Sanitation, Self Help Groups, Water Help And Dev. In Village."
Aayushya Prakritik Chikitsa,"40, Railway Road, Opp. HDFC Bank",Yoga,yagyavrat@gmail.com,NOT AVAILABLE,,91-135-2432539,Development of mankind
