A Hand,"Dr. Suresh Sarkar Road, Kolkata",Kolkata,ahand@rediffmail.com,91-33-22650323,,NOT AVAILABLE,Educational aid to poor
Abacus Welfare Society,"Garia, Nabagram, Panchpota, Sonar",Kolkata,deepmayra@yahoo.in,NOT AVAILABLE,98368 45045,,"Agriculture, Child Labour, Child Rights, Child Welfare, Community Development, Development (General), Disaster Management, Distance Learning, Education, Employment, Environment, General – Social Welfare, Human Development, Natural Resource Management, Physically Disabled, Poverty, Rural Development, Training, Tribal Development, Urban Development, Women Development/Welfare."
A.P. Educational Institute,"Amta College More, Amta",Howrah,apeiamta@gmail.com,NOT AVAILABLE,98367 20741,03214-260006,"Development (General), Education, General – Social Welfare, Local Self Governance (Panchayati Raj), Medical Relief, Social Awareness, Society And Economy, Traditional Health, Training."
Aamra Susama Jalaprapat,"Demarihat, Tamluk",Tamluk,wbasj@rediffmail.com,,"91-94342 59320, 91-93341 96143",NOT AVAILABLE,
Aashayein Society,"65, Bon Behari, Bose Road",Howrah,aashayein4you@gmail.com,NOT AVAILABLE,"98312 68888, 99038 54524",,"Corporate Social Responsibility, Education."
24 Parganas Practitioners Association of Alternative Medicine,"C/o Dr. Debraj Roy, 2, Basunagar",Kolkata,paam06wb@yahoo.co.in,91-33-25385165,91-94330 25165,NOT AVAILABLE,Donation and other assistance so far.
A Sutra,"Santrupti Kutiram, 225/91 B, Behind Petrol Pump, Malancha Road",Kharagpur,sutra.ngo@gmail.com,,91-94761 09009,NOT AVAILABLE,Over all welfare.
Aashar Aalo,"Gabberia,",West Bengal,aasharaalo@gmail.com,91-3174-213909,,NOT AVAILABLE,
Abha,"301, VIP Kaikhali, 19 Lane, R Gopalpur",Kolkata,abhaindia@rediffmail.com,NOT AVAILABLE,"98749 22841, 94323 45525",,"Education, installation of borewells, sanitation."
ABAYAB 2005,"FB-4, 412 Rajdanga Main Road, Kasba",Kolkata,abayab2005@yahoo.co.in,91-33-40630056,91-98317 45442,NOT AVAILABLE,To help all.
Abhaash Dakshin,"A/52, Ramkrishnanagar, Laskarpur, Garia Kolkata",Kolkata,natya.abhaash@gmail.om,91-3212-242329,91-94770 81556,NOT AVAILABLE,Art & culture
ACA – Arpita Computer Academy,"Chapra Ranabandh Road, Bangaljhi",Nadia,aca_chapra@rediffmail.com,,91-99321 66703,NOT AVAILABLE,Child and Youth education development.
Ace Social Foundation,"Ec-243, Salt Lake",Kolkata,dibbendu@acesocial.org,NOT AVAILABLE,83369 31931,,"Disability, Employment, Physically Disabled We Are Ace Experiences Ace, An Acronym For Awareness, Care And Empowerment Is A New And Contemporary Social Idea Of Creating Unique, First Time Experiences For Its Audience. Ace Uses Entertainment As A Medium To Convey Socially Relevant Themes Of Current Times In The Most Impactful Way Thus Ensuring A Long Lasting Experience And Education Value To Its Visitors. Ace Has Chosen The Theme Of Disability And Sensitizes The Society On The Abilities Of The Disabled."
Abinashpur Social Welfare Associate,Abinashpur,Birbhum,bneti2013@gmail.com,NOT AVAILABLE,98007 65190,,"Community Development, Education, Employment, Food And Nutrition, Health, Hiv/Aids, Labour, Legal Awareness, Medical Relief, Rural Development, Science And Technology, Training, Women Development/Welfare Women Nursing Education And Training."
Abhinandan Club,"B-4/193, Kalyani",Nadia,b4abhinandanclub@gmail.com,91-33-25022768,,NOT AVAILABLE,Women upliftment.
ABLE Foundation,"3/I, Royal Tower, 35A, Jogendra Basak Road",Kolkata,ablefoundation@gmail.com,91-33-25775792,91-94334 27319,NOT AVAILABLE,
Achhiruddin Gazi Educational Society,"Taragunia, Baduria, Basirhat",North 24 Parganas,ageducation2009@gmail.com,NOT AVAILABLE,94328 56901,03217-323274,Social Work.
ACT – Association for Conservation & Tourism,"143, Hill Cart Road, Siliguri",Darjeeling,act@actnowornever.org,91-353-2535893,,NOT AVAILABLE,Conservation and tourism
Addhyayan,Beliadanga Daspara,South 24 Pgs,addhyayan.db@gmail.com,NOT AVAILABLE,97353 90008,,"Advocacy on social issues, anti drug campaign, art and craft, art and culture, awareness generation, ayurveda, cancer patients help, child labour, cow protection centre (goushala), cultural heritage, micro-enterprises, ngo management, old aged welfare."
Adhikar,"107, Swami Vivekananda Road, Chapadali, Barasat",Barasat,adhikaroffice@gmail.com,NOT AVAILABLE,98363 65065,,"Self Help Groups, Sericulture, Social Awareness, Society and Economy, Sustainable Development, Training, Tribal Development, Tribal Issues, Urban Development, Volunteers, Waste Management, Water, Women Development/Welfare, Women’s Issues."
Advance Computer Technology & Training Centre,"Dhamua, Mograhat, Ganakhati",South 24 Parganas,computerb2012@gmial.com,NOT AVAILABLE,96470 13899,,"E-Learning, Education, Employment Free Of Cost Computer Training, Job Oriented It& Computer Crouses."
AGNI – A Dream for Great Nation India,"Fd 219/3, Sector 3 Salt Lake Kolkata",Kolkata,ngo_agni@rediffmail.com,,91-94323 45525,NOT AVAILABLE,Education health rural help.
Agni Rural Welfare Society,"47, School Road, Dakshin Jagaddal",South 24 Parganas,arws008@gmail.com,NOT AVAILABLE,98314 60161,,Social Work
Agarpara Institution for Human Initiatives,"Bose Garden, Agarpara",Agarpara,ihi.universe@gmail.com,NOT AVAILABLE,98308 54712,,Social Work
